global_step,epoch,train/loss,train/accept_len,train/accept_rate
194,0,1.031,1.12,0.096
195,0,0.984,1.162,0.125
196,0,1.008,1.125,0.098
197,0,1.016,1.193,0.135
198,0,0.977,1.173,0.131
199,0,1.016,1.176,0.145
200,0,1.023,1.207,0.138
201,0,1.008,1.308,0.168
202,0,1.047,1.162,0.124
203,0,1.016,1.125,0.091
204,0,1.023,1.19,0.147
205,0,1.039,1.222,0.127
206,0,1.039,1.087,0.054
207,0,1.016,1.128,0.114
208,0,1.07,1.182,0.126
209,0,1.047,1.268,0.176
210,0,1.062,1.147,0.125
211,0,0.957,1.101,0.089
212,0,1.047,1.163,0.12
213,0,1.008,1.04,0.042
214,0,1.016,1.14,0.098
215,0,1.031,1.152,0.103
216,0,1.016,1.243,0.18
217,0,1.023,1.202,0.151
218,0,1.062,1.192,0.135
219,0,1.008,1.293,0.173
220,0,1.062,1.073,0.073
221,0,0.984,1.159,0.112
222,0,1.062,1.121,0.11
223,0,1.031,1.22,0.12
224,0,1.016,1.2,0.138
225,0,1.102,1.089,0.074
226,0,1.023,1.183,0.122
227,0,1.031,1.303,0.198
228,0,1.031,1.228,0.171
229,0,1.0,1.275,0.167
230,0,1.047,1.296,0.172
231,0,1.07,1.131,0.109
232,0,1.023,1.297,0.171
233,0,0.996,1.183,0.11
234,0,1.047,1.382,0.25
235,0,1.039,1.155,0.114
236,0,1.047,1.208,0.145
237,0,1.031,1.182,0.136
238,0,1.008,1.214,0.141
239,0,1.023,1.164,0.12
240,0,1.016,1.117,0.106
241,0,1.047,1.344,0.222
242,0,1.016,1.224,0.141
243,0,1.031,1.357,0.201
244,0,0.98,1.468,0.265
245,0,1.102,1.184,0.136
246,0,1.0,1.146,0.106
247,0,1.047,1.341,0.212
248,0,1.055,1.144,0.137
249,0,1.008,1.18,0.117
250,0,1.055,1.277,0.22
251,0,1.008,1.335,0.234
252,0,0.922,1.059,0.041
253,0,1.016,1.392,0.227
254,0,1.031,1.227,0.146
255,0,1.016,1.255,0.143
256,0,1.062,1.202,0.148
257,0,1.055,1.326,0.2
258,0,1.023,1.148,0.112
259,0,1.031,1.329,0.209
260,0,1.117,1.171,0.142
261,0,1.031,1.283,0.167
262,0,1.031,1.273,0.188
263,0,1.109,1.074,0.057
264,0,1.047,1.255,0.174
265,0,1.062,1.306,0.19
266,0,1.047,1.132,0.11
267,0,1.156,1.246,0.183
268,0,1.055,1.114,0.102
269,0,1.047,1.38,0.236
270,0,1.07,1.214,0.138
271,0,1.07,1.237,0.171
272,0,1.039,1.205,0.136
273,0,1.039,1.269,0.145
274,0,1.094,1.186,0.137
275,0,1.031,1.242,0.154
276,0,1.016,1.278,0.189
277,0,1.078,1.214,0.147
278,0,1.016,1.134,0.107
279,0,1.0,1.148,0.128
280,0,1.0,1.17,0.118
281,0,1.031,1.29,0.178
282,0,1.008,1.284,0.177
283,0,1.016,1.256,0.168
284,0,1.055,1.341,0.221
285,0,1.008,1.295,0.165
286,0,1.047,1.164,0.141
287,0,1.047,1.26,0.172
288,0,1.055,1.179,0.132
289,0,0.992,1.395,0.237
290,0,1.055,1.171,0.13
291,0,1.016,1.278,0.173
292,0,1.141,1.119,0.071
293,0,1.023,1.261,0.176
294,0,0.98,1.442,0.253
295,0,1.016,1.239,0.159
296,0,1.055,1.131,0.119
297,0,1.078,1.17,0.124
298,0,0.996,1.3,0.186
299,0,1.047,1.18,0.122
300,0,1.031,1.208,0.154
301,0,1.023,1.227,0.133
302,0,0.957,1.253,0.138
303,0,0.965,1.194,0.156
304,0,0.977,1.067,0.088
305,0,0.91,1.349,0.224
306,0,1.055,1.14,0.104
307,0,1.0,1.104,0.091
308,0,1.023,1.082,0.079
309,0,0.984,1.355,0.211
310,0,1.031,1.161,0.124
311,0,1.109,1.149,0.11
312,0,1.156,1.176,0.113
313,0,1.016,1.276,0.159
314,0,0.938,1.586,0.279
315,0,1.047,1.236,0.162
316,0,1.055,1.182,0.131
317,0,0.969,1.434,0.281
318,0,1.039,1.225,0.145
319,0,1.016,1.337,0.192
320,0,1.07,1.114,0.095
321,0,1.055,1.137,0.105
322,0,0.992,1.321,0.183
323,0,0.996,1.302,0.167
324,0,0.969,1.297,0.177
325,0,0.969,1.224,0.155
326,0,0.992,1.253,0.177
327,0,0.98,1.188,0.144
328,0,1.023,1.21,0.145
329,0,0.992,1.055,0.067
330,0,0.984,1.251,0.144
331,0,1.031,1.148,0.119
332,0,1.023,1.221,0.131
333,0,0.969,1.237,0.204
334,0,1.016,1.245,0.171
335,0,1.078,1.132,0.108
336,0,1.055,1.103,0.099
337,0,1.031,1.239,0.131
338,0,1.023,1.306,0.166
339,0,1.023,1.178,0.133
340,0,1.016,1.343,0.18
341,0,1.109,1.203,0.126
342,0,1.031,1.297,0.149
343,0,1.07,1.346,0.198
344,0,1.016,1.363,0.169
345,0,1.102,1.293,0.18
346,0,1.047,1.347,0.194
347,0,0.973,1.281,0.181
348,0,0.965,1.243,0.147
349,0,0.98,1.334,0.151
350,0,0.953,1.355,0.202
351,0,0.934,1.22,0.14
352,0,0.863,1.122,0.102
353,0,0.945,1.239,0.16
354,0,1.023,1.19,0.135
355,0,0.996,1.186,0.118
356,0,1.008,1.152,0.118
357,0,0.984,1.282,0.178
358,0,0.988,1.166,0.116
359,0,1.055,1.159,0.126
360,0,1.016,1.173,0.127
361,0,0.977,1.352,0.199
362,0,1.062,1.199,0.161
363,0,1.07,1.159,0.115
364,0,1.016,1.256,0.174
365,0,1.008,1.284,0.193
366,0,1.055,1.302,0.17
367,0,1.031,1.324,0.179
368,0,1.016,1.314,0.169
369,0,1.0,1.276,0.187
370,0,0.984,1.302,0.196
371,0,0.969,1.252,0.163
372,0,0.945,1.239,0.162
373,0,0.984,1.194,0.116
374,0,0.992,1.231,0.18
375,0,0.984,1.237,0.14
376,0,0.969,1.331,0.209
377,0,1.0,1.188,0.132
378,0,0.992,1.179,0.151
379,0,0.941,1.162,0.128
380,0,0.941,1.253,0.209
381,0,0.961,1.275,0.19
382,0,0.977,1.158,0.124
383,0,0.977,1.238,0.148
384,0,0.949,1.224,0.164
385,0,0.906,1.382,0.239
386,0,1.031,1.214,0.131
387,0,0.969,1.194,0.137
388,0,1.0,1.241,0.149
389,0,0.93,1.407,0.274
390,0,0.984,1.137,0.092
391,0,0.973,1.287,0.185
392,0,0.973,1.264,0.176
393,0,0.969,1.202,0.145
394,0,0.945,1.181,0.148
395,0,0.906,1.444,0.24
396,0,0.875,1.098,0.092
397,0,0.969,1.382,0.241
398,0,0.953,1.225,0.161
399,0,0.98,1.149,0.119
400,0,0.957,1.252,0.163
401,0,0.996,1.125,0.107
402,0,0.953,1.312,0.18
403,0,0.957,1.401,0.208
404,0,0.93,1.486,0.251
405,0,0.941,1.347,0.182
406,0,0.938,1.499,0.253
407,0,1.0,1.17,0.118
408,0,0.938,1.458,0.245
409,0,0.992,1.106,0.099
410,0,0.961,1.197,0.146
411,0,0.973,1.375,0.194
412,0,0.938,1.366,0.232
413,0,0.883,1.42,0.256
414,0,0.98,1.158,0.155
415,0,0.898,2.013,0.327
416,0,0.941,1.31,0.187
417,0,0.938,1.441,0.238
418,0,1.141,1.264,0.295
419,0,0.965,1.183,0.135
420,0,0.949,1.235,0.17
421,0,0.883,1.479,0.242
422,0,1.0,1.139,0.107
423,0,0.98,1.128,0.115
424,0,1.0,1.177,0.128
425,0,0.926,1.38,0.205
426,0,0.926,1.357,0.211
427,0,0.941,1.198,0.132
428,0,0.938,1.227,0.141
429,0,0.926,1.398,0.22
430,0,0.973,1.186,0.134
431,0,0.984,1.099,0.102
432,0,0.984,1.149,0.103
433,0,0.992,1.302,0.216
434,0,0.953,1.381,0.219
435,0,0.965,1.463,0.242
436,0,1.016,1.261,0.161
437,0,0.984,1.295,0.178
438,0,0.953,1.493,0.261
439,0,0.945,1.293,0.179
440,0,0.969,1.163,0.124
441,0,0.961,1.342,0.196
442,0,0.969,1.356,0.205
443,0,0.941,1.267,0.154
444,0,0.973,1.185,0.141
445,0,0.914,1.384,0.234
446,0,0.965,1.325,0.2
447,0,0.914,1.357,0.24
448,0,0.895,1.509,0.25
449,0,0.953,1.293,0.186
450,0,0.926,1.304,0.189
451,0,0.93,1.272,0.166
452,0,0.902,1.464,0.23
453,0,0.98,1.257,0.16
454,0,0.953,1.267,0.177
455,0,0.945,1.361,0.198
456,0,0.953,1.445,0.225
457,0,0.949,1.302,0.194
458,0,0.977,1.188,0.142
459,0,0.93,1.509,0.265
460,0,0.961,1.327,0.233
461,0,0.996,1.319,0.176
462,0,1.0,1.231,0.168
463,0,0.953,1.403,0.197
464,0,0.891,1.497,0.284
465,0,0.984,1.328,0.214
466,0,0.98,1.295,0.179
467,0,0.926,1.281,0.172
468,0,0.941,1.215,0.177
469,0,0.922,1.365,0.194
470,0,0.977,1.244,0.138
471,0,0.898,1.46,0.218
472,0,0.93,1.334,0.185
473,0,0.891,1.2,0.181
474,0,0.969,1.236,0.148
475,0,0.941,1.366,0.206
476,0,0.949,1.414,0.218
477,0,0.949,1.258,0.133
478,0,0.961,1.234,0.154
479,0,0.961,1.244,0.159
480,0,0.949,1.25,0.146
481,0,0.945,1.174,0.132
482,0,0.867,1.483,0.28
483,0,1.055,1.102,0.067
484,0,0.93,1.347,0.187
485,0,0.98,1.315,0.174
486,0,0.965,1.247,0.138
487,0,0.848,1.506,0.3
488,0,0.945,1.245,0.199
489,0,0.961,1.17,0.123
490,0,0.82,1.6,0.316
491,0,0.984,1.101,0.123
492,0,0.918,1.375,0.186
493,0,0.984,1.241,0.136
494,0,0.875,1.427,0.237
495,0,0.902,1.42,0.221
496,0,0.969,1.205,0.162
497,0,0.953,1.276,0.143
498,0,0.953,1.29,0.165
499,0,0.984,1.191,0.137
500,0,0.973,1.2,0.129
501,0,0.922,1.336,0.185
502,0,0.938,1.247,0.176
503,0,0.918,1.507,0.231
504,0,0.934,1.412,0.198
505,0,0.961,1.219,0.156
506,0,0.969,1.232,0.167
507,0,0.922,1.401,0.22
508,0,0.949,1.259,0.158
509,0,1.0,1.242,0.131
510,0,0.988,1.269,0.134
511,0,0.879,1.484,0.26
512,0,0.965,1.251,0.145
513,0,0.98,1.252,0.139
514,0,0.945,1.257,0.155
515,0,0.973,1.188,0.134
516,0,0.965,1.312,0.168
517,0,0.965,1.311,0.167
518,0,0.875,1.539,0.243
519,0,0.953,1.307,0.175
520,0,0.883,1.458,0.25
521,0,0.914,1.396,0.221
522,0,0.941,1.292,0.175
523,0,0.922,1.275,0.186
524,0,0.848,1.609,0.279
525,0,0.977,1.225,0.146
526,0,0.984,1.186,0.128
527,0,1.008,1.182,0.12
528,0,0.961,1.32,0.187
529,0,0.957,1.201,0.151
530,0,0.945,1.291,0.195
531,0,1.016,1.194,0.143
532,0,0.934,1.271,0.166
533,0,0.953,1.388,0.199
534,0,0.836,1.652,0.276
535,0,0.949,1.237,0.161
536,0,0.918,1.401,0.201
537,0,0.883,1.451,0.265
538,0,0.957,1.362,0.197
539,0,0.898,1.372,0.2
540,0,0.859,1.375,0.247
541,0,0.938,1.385,0.207
542,0,0.934,1.245,0.202
543,0,0.812,1.643,0.314
544,0,0.844,1.512,0.244
545,0,0.941,1.274,0.174
546,0,0.953,1.257,0.162
547,0,0.918,1.251,0.151
548,0,0.984,1.322,0.154
549,0,0.898,1.426,0.234
550,0,0.922,1.31,0.181
551,0,0.914,1.404,0.212
552,0,0.926,1.306,0.185
553,0,0.953,1.216,0.142
554,0,0.992,1.149,0.094
555,0,0.883,1.39,0.194
556,0,0.867,1.56,0.253
557,0,0.938,1.289,0.173
558,0,0.855,1.463,0.232
559,0,0.969,1.227,0.123
560,0,0.945,1.317,0.177
561,0,0.941,1.275,0.176
562,0,0.992,1.212,0.142
563,0,0.945,1.379,0.19
564,0,0.898,1.445,0.233
565,0,0.969,1.225,0.152
566,0,0.879,1.38,0.214
567,0,0.938,1.301,0.165
568,0,0.93,1.315,0.178
569,0,0.898,1.393,0.24
570,0,0.922,1.28,0.178
571,0,0.934,1.293,0.17
572,0,0.922,1.368,0.194
573,0,0.934,1.331,0.211
574,0,0.938,1.106,0.073
575,0,0.848,1.588,0.285
576,0,0.957,1.252,0.146
577,0,0.898,1.386,0.233
578,0,0.926,1.296,0.175
579,0,0.898,1.33,0.207
580,0,0.965,1.282,0.151
581,0,0.934,1.397,0.196
582,0,0.828,1.592,0.297
583,0,0.914,1.443,0.211
584,0,0.945,1.351,0.183
585,0,0.863,1.565,0.233
586,0,0.926,1.327,0.162
587,0,0.953,1.264,0.14
588,0,0.867,1.668,0.281
589,0,0.945,1.25,0.155
590,0,0.91,1.364,0.169
591,0,0.973,1.22,0.137
592,0,0.953,1.253,0.139
593,0,0.898,1.396,0.2
594,0,0.859,1.288,0.197
595,0,0.949,1.207,0.146
596,0,0.883,1.416,0.221
597,0,0.938,1.306,0.174
598,0,0.914,1.428,0.207
599,0,0.934,1.364,0.191
600,0,0.891,1.4,0.223
601,0,0.898,1.417,0.216
602,0,0.957,1.247,0.162
603,0,0.953,1.25,0.155
604,0,0.898,1.341,0.205
605,0,0.906,1.379,0.191
606,0,0.961,1.249,0.15
607,0,1.008,1.215,0.141
608,0,0.914,1.323,0.193
609,0,0.938,1.244,0.141
610,0,0.98,1.173,0.134
611,0,0.953,1.242,0.167
612,0,0.871,1.502,0.255
613,0,0.938,1.326,0.177
614,0,0.836,1.513,0.273
615,0,0.852,1.608,0.265
616,0,0.891,1.522,0.229
617,0,0.914,1.415,0.228
618,0,0.961,1.322,0.163
619,0,0.895,1.634,0.254
620,0,0.844,1.558,0.275
621,0,1.008,1.235,0.153
622,0,0.945,1.338,0.192
623,0,0.863,1.566,0.31
624,0,0.828,1.664,0.302
625,0,0.875,1.53,0.258
626,0,0.852,1.462,0.232
627,0,0.887,1.537,0.245
628,0,0.867,1.563,0.251
629,0,0.859,1.606,0.271
630,0,0.906,1.417,0.199
631,0,0.867,1.481,0.233
632,0,0.844,1.561,0.257
633,0,0.867,1.532,0.235
634,0,0.891,1.536,0.254
635,0,0.918,1.413,0.196
636,0,0.941,1.402,0.187
637,0,0.961,1.317,0.188
638,0,0.914,1.34,0.207
639,0,0.875,1.501,0.227
640,0,0.891,1.637,0.312
641,0,0.895,1.384,0.225
642,0,0.934,1.398,0.211
643,0,0.953,1.215,0.158
644,0,0.828,1.458,0.254
645,0,0.93,1.346,0.19
646,0,0.922,1.764,0.421
647,0,0.867,1.54,0.204
648,0,0.906,1.434,0.206
649,0,0.863,1.563,0.27
650,0,0.816,1.649,0.318
651,0,0.949,1.224,0.135
652,0,0.953,1.115,0.086
653,0,0.895,1.339,0.222
654,0,0.914,1.381,0.164
655,0,0.965,1.294,0.171
656,0,0.875,1.542,0.238
657,0,0.984,1.491,0.269
658,0,0.906,1.511,0.216
659,0,0.855,1.595,0.266
660,0,0.82,1.651,0.283
661,0,0.906,1.42,0.191
662,0,0.906,1.39,0.196
663,0,0.859,1.529,0.27
664,0,0.914,1.32,0.185
665,0,0.918,1.28,0.168
666,0,0.852,1.638,0.276
667,0,0.945,1.248,0.157
668,0,0.938,1.311,0.193
669,0,0.898,1.439,0.204
670,0,0.848,1.643,0.274
671,0,0.891,1.516,0.251
672,0,0.977,1.226,0.157
673,0,0.914,1.332,0.206
674,0,0.891,1.53,0.248
675,0,0.953,1.341,0.194
676,0,0.867,1.47,0.246
677,0,1.0,1.27,0.157
678,0,0.961,1.215,0.145
679,0,0.922,1.27,0.181
680,0,0.93,1.335,0.203
681,0,0.797,1.939,0.371
682,0,0.914,1.366,0.193
683,0,0.961,1.123,0.102
