t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,index,wall_ms,cpu_ms,ok,n_in,seq_len,t_batch,t_fwd,t_bwd,t_opt,t_end
1789041230.7109,collate,3,0,30301,,,,,,52.735,52.601,,8.0,1.0,,,,,
1789041232.8309,collate,3,0,30301,,,,,,39.729,39.673,,7.0,1.0,,,,,
1789041235.0899,collate,3,0,30301,,,,,,32.243,32.207,,7.0,1.0,,,,,
1789041236.5727,collate,3,0,30301,,,,,,48.845,48.188,,4.0,1.0,,,,,
1789041238.4997,collate,3,0,30301,,,,,,34.023,33.672,,5.0,1.0,,,,,
1789041239.9804,collate,3,0,30301,,,,,,32.068,32.011,,3.0,1.0,,,,,
1789041243.1904,collate,3,0,30301,,,,,,52.006,51.881,,8.0,1.0,,,,,
1789041245.2584,collate,3,0,30301,,,,,,42.717,42.622,,6.0,1.0,,,,,
1789041247.1802,collate,3,0,30301,,,,,,32.337,32.255,,5.0,1.0,,,,,
1789041248.9818,collate,3,0,30301,,,,,,42.514,42.418,,4.0,1.0,,,,,
1789041250.8859,collate,3,0,30301,,,,,,35.59,35.441,,5.0,1.0,,,,,
1789041252.9504,collate,3,0,30301,,,,,,197.152,196.69,,5.0,1.0,,,,,
1789041255.6166,collate,3,0,30301,,,,,,54.833,54.448,,7.0,1.0,,,,,
1789041258.5246,collate,3,0,30301,,,,,,31.144,31.105,,8.0,1.0,,,,,
1789041260.9418,collate,3,0,30301,,,,,,37.567,37.471,,8.0,1.0,,,,,
1789041263.0804,collate,3,0,30301,,,,,,36.619,36.537,,6.0,1.0,,,,,
1789041265.3825,collate,3,0,30301,,,,,,41.624,41.566,,6.0,1.0,,,,,
1789041267.4371,collate,3,0,30301,,,,,,46.777,46.691,,5.0,1.0,,,,,
1789041269.442,collate,3,0,30301,,,,,,30.5,30.401,,6.0,1.0,,,,,
1789041271.4169,collate,3,0,30301,,,,,,32.518,32.409,,5.0,1.0,,,,,
1789041273.8995,collate,3,0,30301,,,,,,47.107,47.007,,7.0,1.0,,,,,
1789041276.2714,collate,3,0,30301,,,,,,36.717,36.558,,6.0,1.0,,,,,
1789041278.2932,collate,3,0,30301,,,,,,92.148,91.976,,6.0,1.0,,,,,
1789041280.8874,collate,3,0,30301,,,,,,51.902,51.752,,7.0,1.0,,,,,
1789041283.0157,collate,3,0,30301,,,,,,43.87,43.665,,7.0,1.0,,,,,
1789041284.9829,collate,3,0,30301,,,,,,33.777,33.617,,6.0,1.0,,,,,
1789041287.3993,collate,3,0,30301,,,,,,36.006,35.906,,6.0,1.0,,,,,
1789041290.0806,collate,3,0,30301,,,,,,53.811,53.709,,7.0,1.0,,,,,
1789041291.9258,collate,3,0,30301,,,,,,41.107,41.024,,5.0,1.0,,,,,
1789041293.7377,collate,3,0,30301,,,,,,38.451,38.383,,5.0,1.0,,,,,
1789041296.1081,collate,3,0,30301,,,,,,39.103,39.014,,7.0,1.0,,,,,
1789041298.1247,collate,3,0,30301,,,,,,35.948,35.891,,6.0,1.0,,,,,
1789041300.3545,collate,3,0,30301,,,,,,53.359,53.218,,6.0,1.0,,,,,
1789041302.9029,collate,3,0,30301,,,,,,40.993,40.909,,6.0,1.0,,,,,
1789041304.8576,collate,3,0,30301,,,,,,35.255,35.208,,5.0,1.0,,,,,
1789041307.1231,collate,3,0,30301,,,,,,47.096,46.96,,6.0,1.0,,,,,
1789041308.5043,collate,3,0,30301,,,,,,32.995,32.939,,3.0,1.0,,,,,
1789041311.7644,collate,3,0,30301,,,,,,32.391,32.257,,8.0,1.0,,,,,
1789041313.7586,collate,3,0,30301,,,,,,46.149,46.073,,5.0,1.0,,,,,
1789041315.5299,collate,3,0,30301,,,,,,55.154,54.981,,5.0,1.0,,,,,
1789041318.1446,collate,3,0,30301,,,,,,37.114,37.035,,7.0,1.0,,,,,
1789041319.9717,collate,3,0,30301,,,,,,43.132,43.072,,5.0,1.0,,,,,
1789041322.2658,collate,3,0,30301,,,,,,34.595,34.542,,7.0,1.0,,,,,
1789041324.0721,collate,3,0,30301,,,,,,51.122,50.976,,6.0,1.0,,,,,
1789041326.0408,collate,3,0,30301,,,,,,52.06,51.977,,5.0,1.0,,,,,
1789041327.9732,collate,3,0,30301,,,,,,33.194,33.074,,5.0,1.0,,,,,
1789041330.0139,collate,3,0,30301,,,,,,37.059,36.939,,5.0,1.0,,,,,
1789041331.9692,collate,3,0,30301,,,,,,37.035,36.963,,6.0,1.0,,,,,
1789041334.001,collate,3,0,30301,,,,,,33.699,33.619,,6.0,1.0,,,,,
