epoch,val_pos1,val_pos2,val_pos3,val_pos4,val_pos5,val_pos6,val_pos7,train_pos1,train_pos2,train_pos3,train_pos4,train_pos5,train_pos6,train_pos7
0,0.813,0.756,0.709,0.668,0.630,0.595,0.560,0.7583,0.6924,0.6409,0.5973,0.5594,0.5246,0.4908
1,0.841,0.791,0.749,0.712,0.677,0.644,0.611,0.8291,0.7761,0.7318,0.6924,0.6568,0.6229,0.5885
2,0.852,0.805,0.765,0.728,0.696,0.664,0.632,0.8515,0.8039,0.7633,0.7268,0.6936,0.6614,0.6284
