global_step,epoch,train/loss,train/accept_len,train/accept_rate
195,0,0.961,1.155,0.112
196,0,0.988,1.114,0.087
197,0,0.992,1.191,0.127
198,0,0.957,1.191,0.133
199,0,0.98,1.197,0.147
200,0,0.984,1.203,0.134
201,0,0.984,1.303,0.16
202,0,1.0,1.153,0.111
203,0,1.062,1.132,0.094
204,0,1.094,1.177,0.145
205,0,1.094,1.203,0.125
206,0,1.07,1.09,0.057
207,0,1.031,1.114,0.098
208,0,1.109,1.173,0.124
209,0,1.133,1.268,0.178
210,0,1.109,1.139,0.124
211,0,1.008,1.11,0.094
212,0,1.102,1.167,0.128
213,0,1.023,1.043,0.045
214,0,1.078,1.16,0.107
215,0,0.98,1.135,0.1
216,0,0.965,1.231,0.163
217,0,0.969,1.222,0.149
218,0,1.016,1.177,0.133
219,0,0.969,1.335,0.179
220,0,1.047,1.062,0.074
221,0,0.961,1.159,0.109
222,0,1.039,1.106,0.103
223,0,0.969,1.226,0.122
224,0,0.969,1.208,0.142
225,0,1.031,1.097,0.082
226,0,0.969,1.179,0.125
227,0,1.094,1.32,0.199
228,0,1.102,1.243,0.178
229,0,1.062,1.272,0.167
230,0,1.086,1.317,0.174
231,0,1.109,1.128,0.107
232,0,1.062,1.294,0.171
233,0,1.039,1.2,0.118
234,0,1.117,1.429,0.263
235,0,1.086,1.161,0.116
236,0,1.094,1.218,0.148
237,0,1.07,1.184,0.136
238,0,1.039,1.216,0.133
239,0,1.016,1.14,0.111
240,0,1.0,1.105,0.102
241,0,1.031,1.331,0.211
242,0,0.992,1.223,0.138
243,0,1.0,1.329,0.193
244,0,0.961,1.426,0.248
245,0,1.062,1.187,0.128
246,0,0.992,1.123,0.101
247,0,1.0,1.331,0.207
248,0,1.016,1.142,0.129
249,0,1.008,1.159,0.11
250,0,0.984,1.253,0.206
251,0,1.055,1.307,0.229
252,0,0.93,1.057,0.033
253,0,1.078,1.398,0.223
254,0,1.047,1.208,0.136
255,0,1.031,1.246,0.141
256,0,1.062,1.199,0.143
257,0,1.062,1.307,0.189
258,0,1.008,1.141,0.107
259,0,1.055,1.285,0.192
260,0,1.109,1.169,0.133
261,0,1.062,1.258,0.165
262,0,1.062,1.269,0.184
263,0,1.133,1.066,0.053
264,0,1.047,1.252,0.178
265,0,1.047,1.294,0.189
266,0,1.062,1.12,0.106
267,0,1.102,1.26,0.181
268,0,1.109,1.111,0.1
269,0,0.996,1.366,0.233
270,0,1.055,1.212,0.134
271,0,1.023,1.22,0.17
272,0,1.047,1.193,0.134
273,0,1.031,1.269,0.144
274,0,1.047,1.206,0.136
275,0,1.016,1.207,0.141
276,0,1.0,1.258,0.187
277,0,1.07,1.21,0.14
278,0,1.047,1.146,0.113
279,0,1.008,1.139,0.123
280,0,1.016,1.162,0.113
281,0,1.023,1.27,0.173
282,0,1.008,1.284,0.178
283,0,1.023,1.256,0.164
284,0,1.055,1.365,0.222
285,0,1.008,1.284,0.168
286,0,1.047,1.164,0.144
287,0,1.023,1.232,0.166
288,0,1.016,1.16,0.118
289,0,0.973,1.419,0.238
290,0,1.031,1.146,0.11
291,0,0.98,1.284,0.171
292,0,1.102,1.112,0.065
293,0,1.008,1.263,0.175
294,0,0.973,1.425,0.248
295,0,0.984,1.204,0.142
296,0,0.992,1.115,0.109
297,0,1.016,1.146,0.114
298,0,0.977,1.278,0.167
299,0,1.086,1.199,0.136
300,0,1.062,1.212,0.155
301,0,1.086,1.253,0.15
302,0,0.977,1.209,0.136
303,0,0.984,1.234,0.154
304,0,1.008,1.059,0.087
305,0,0.898,1.312,0.221
306,0,1.125,1.166,0.128
307,0,1.008,1.098,0.081
308,0,1.023,1.072,0.074
309,0,1.0,1.34,0.203
310,0,1.055,1.165,0.132
311,0,1.086,1.125,0.096
312,0,1.102,1.159,0.091
313,0,1.031,1.217,0.144
314,0,0.93,1.525,0.26
315,0,1.023,1.207,0.15
316,0,1.039,1.157,0.12
317,0,0.953,1.347,0.247
318,0,1.039,1.21,0.139
319,0,1.0,1.306,0.178
320,0,1.078,1.107,0.09
321,0,1.07,1.131,0.096
322,0,0.969,1.319,0.179
323,0,0.988,1.29,0.162
324,0,0.977,1.253,0.165
325,0,0.973,1.23,0.149
326,0,0.984,1.206,0.159
327,0,0.973,1.168,0.121
328,0,1.023,1.15,0.109
329,0,0.988,1.049,0.066
330,0,0.988,1.219,0.145
331,0,1.016,1.134,0.1
332,0,1.031,1.215,0.129
333,0,0.961,1.195,0.191
334,0,1.016,1.217,0.152
335,0,1.086,1.117,0.108
336,0,1.047,1.112,0.11
337,0,1.016,1.216,0.132
338,0,1.023,1.288,0.166
339,0,1.031,1.171,0.134
340,0,0.992,1.319,0.181
341,0,1.07,1.196,0.12
342,0,1.055,1.268,0.147
343,0,1.023,1.324,0.196
344,0,1.008,1.288,0.149
345,0,1.055,1.292,0.178
346,0,1.031,1.316,0.187
347,0,0.977,1.27,0.182
348,0,0.969,1.229,0.146
349,0,0.969,1.242,0.14
350,0,0.953,1.316,0.191
351,0,0.938,1.214,0.143
352,0,0.879,1.13,0.113
353,0,0.953,1.239,0.162
354,0,1.023,1.185,0.13
355,0,1.0,1.175,0.121
356,0,1.016,1.145,0.124
357,0,0.98,1.226,0.172
358,0,0.984,1.157,0.118
359,0,1.07,1.129,0.106
360,0,1.023,1.159,0.112
361,0,0.988,1.31,0.191
362,0,1.055,1.195,0.148
363,0,1.055,1.135,0.104
364,0,1.023,1.197,0.149
365,0,1.023,1.278,0.186
366,0,1.047,1.29,0.162
367,0,1.008,1.326,0.175
368,0,1.023,1.284,0.159
369,0,1.0,1.282,0.176
370,0,0.992,1.319,0.186
371,0,0.953,1.257,0.165
372,0,0.938,1.274,0.164
373,0,0.973,1.173,0.107
374,0,0.973,1.225,0.16
375,0,0.957,1.232,0.141
376,0,0.953,1.344,0.206
377,0,0.984,1.157,0.121
378,0,0.969,1.155,0.136
379,0,0.93,1.154,0.125
380,0,0.918,1.28,0.218
381,0,0.926,1.296,0.183
382,0,0.969,1.166,0.135
383,0,0.984,1.202,0.131
384,0,0.953,1.251,0.16
385,0,0.977,1.34,0.228
386,0,1.016,1.197,0.126
387,0,0.977,1.17,0.124
388,0,1.0,1.264,0.154
389,0,0.988,1.393,0.285
390,0,1.0,1.105,0.085
391,0,1.023,1.252,0.192
392,0,0.992,1.231,0.164
393,0,1.0,1.191,0.144
394,0,0.98,1.156,0.155
395,0,0.914,1.376,0.22
396,0,0.906,1.116,0.11
397,0,0.953,1.315,0.212
398,0,0.953,1.24,0.148
399,0,0.984,1.124,0.114
400,0,0.953,1.21,0.151
401,0,0.996,1.127,0.097
402,0,0.949,1.278,0.161
403,0,0.965,1.329,0.193
404,0,0.918,1.388,0.224
405,0,0.938,1.29,0.168
406,0,0.914,1.367,0.219
407,0,0.992,1.14,0.096
408,0,0.93,1.446,0.247
409,0,0.988,1.103,0.1
410,0,0.969,1.189,0.14
411,0,0.969,1.332,0.187
412,0,0.914,1.388,0.251
413,0,0.906,1.326,0.257
414,0,0.977,1.147,0.142
415,0,0.914,1.894,0.324
416,0,0.953,1.255,0.197
417,0,0.938,1.451,0.23
418,0,1.18,1.266,0.296
419,0,0.969,1.16,0.126
420,0,0.957,1.227,0.16
421,0,0.895,1.399,0.223
422,0,1.016,1.149,0.114
423,0,0.977,1.116,0.11
424,0,0.988,1.17,0.122
425,0,0.945,1.342,0.184
426,0,0.934,1.305,0.198
427,0,0.93,1.203,0.127
428,0,0.945,1.206,0.131
429,0,0.938,1.336,0.205
430,0,0.984,1.17,0.123
431,0,0.988,1.125,0.111
432,0,0.984,1.125,0.102
433,0,0.898,1.268,0.203
434,0,0.918,1.349,0.207
435,0,0.906,1.408,0.233
436,0,0.957,1.245,0.164
437,0,0.957,1.291,0.183
438,0,0.918,1.414,0.264
439,0,0.945,1.245,0.167
440,0,0.961,1.154,0.122
441,0,0.957,1.335,0.193
442,0,0.945,1.3,0.192
443,0,0.945,1.204,0.141
444,0,0.977,1.174,0.134
445,0,0.918,1.31,0.215
446,0,0.965,1.279,0.183
447,0,0.918,1.331,0.226
448,0,0.922,1.397,0.234
449,0,0.945,1.279,0.178
450,0,0.926,1.239,0.172
451,0,0.938,1.22,0.16
452,0,0.922,1.405,0.214
