spread_by_ordinal_ms,spread_end_by_ordinal_ms,gs_mismatch
316.57199999608565,316.4790000009816,False
5.894000001717359,5.856000003404915,False
999.7409999923548,999.934999999823,False
85.73599999363068,85.75199999904726,False
1436.9399999995949,1437.0300000009593,False
55.55099999764934,55.594999997993,False
1680.214000007254,1680.3079999954207,False
188.1779999966966,188.3209999941755,False
1556.851999994251,1556.9499999983236,False
386.18999999016523,386.2970000045607,False
1885.8069999987492,1885.9389999997802,False
408.4959999890998,408.54899999976624,False
1502.97899999714,1503.0699999915669,False
567.7129999967292,567.7790000045206,False
1753.2939999946393,1753.405000010389,False
286.0369999980321,286.10199999820907,False
1366.4569999964442,1366.571999998996,False
1283.6999999999534,1283.8080000074115,False
711.1819999990985,711.2130000023171,False
1523.390999995172,1523.735000009765,False
570.6130000035046,570.6850000133272,False
1506.387999994331,1506.5040000044974,False
297.36299999058247,297.4359999934677,False
2165.173000001232,2165.299000000232,False
69.45700000505894,69.57500000135042,False
2109.494000003906,2109.617000009166,False
369.7989999927813,369.9029999988852,False
1840.7729999889852,1840.8580000104848,False
70.3629999916302,70.57300000451505,False
2737.2920000052545,2737.410000001546,False
137.62100000167266,137.64800000353716,False
2540.9570000047097,2541.0790000023553,False
10.557000001426786,10.57800000126008,False
2072.604999993928,2072.7140000090003,False
11.327999993227422,11.306999993394129,False
2575.152999997954,2575.278000003891,False
39.373000006889924,39.428999996744096,False
1455.0650000019232,1455.1809999975376,False
13.491000005160458,13.614000010420568,False
2277.42300000682,2277.5150000088615,False
0.698000003467314,0.6189999985508621,False
2537.4919999885606,2537.555999995675,False
93.81000000576023,93.82999999797903,False
1672.2890000091866,1672.403000004124,False
9.076000002096407,9.101000003283843,False
2766.778000004706,2766.862000004039,False
17.441000003600493,17.459000009694137,False
1861.4200000010896,1861.5920000011101,False
42.87099999783095,42.86500001035165,False
1937.0049999997718,1937.1180000016466,False
52.056999993510544,52.066000003833324,False
1937.8279999946244,1937.9120000085095,False
14.308999991044402,14.44499999342952,False
1468.9010000001872,1468.9550000039162,False
34.486000004108064,34.524999995483086,False
2173.7859999993816,2173.919000008027,False
7.170000011683442,7.227000009152107,False
1352.893999996013,1352.9710000002524,False
14.551999993273057,14.61600000038743,False
2214.222999988124,2214.3360000045504,False
17.18799999798648,17.177000001538545,False
2241.531000006944,2241.6289999964647,False
13.387999992119148,13.530999989598058,False
2639.397999999346,2639.4860000000335,False
6.554999999934807,6.568999990122393,False
1673.9680000027874,1674.087999999756,False
84.23499998752959,84.24999999988358,False
1566.4749999996275,1566.6029999993043,False
6.306000010226853,6.296000006841496,False
1662.8029999992577,1662.8860000055283,False
38.57600000628736,38.58199999376666,False
2185.1219999953173,2185.2340000041295,False
85.14100000320468,85.14399999694433,False
2547.6369999960298,2547.758000000613,False
52.37299999862444,52.35900000843685,False
2113.154000006034,2113.295000002836,False
5.644000004394911,5.654000007780269,False
2098.719000001438,2098.8439999928232,False
27.264000003924593,27.261000010184944,False
2127.0860000076937,2127.2590000007767,False
1.3760000001639128,1.3949999993201345,False
1855.5510000005597,1855.6580000004033,False
27.196999988518655,27.188000007299706,False
2728.3299999980954,2728.4360000048764,False
60.270000001764856,60.263000006671064,False
2158.3629999950062,2158.46999999485,False
5.860000004759058,5.866999999852851,False
1562.5479999871459,1562.6720000000205,False
8.591999998316169,8.591999998316169,False
2581.5879999863682,2581.7190000088885,False
6.580000001122244,6.633999990299344,False
2685.1840000017546,2685.286999985692,False
38.40499999932945,38.40800000762101,False
1624.0910000051372,1624.1960000043036,False
8.646000002045184,8.64000000001397,False
1691.3990000030026,1691.4969999925233,False
33.566999991307966,33.581999989110045,False
2991.343000001507,2991.4430000062566,False
6.566999989445321,6.573999999091029,False
1884.143999996013,1884.275999997044,False
1.1329999979352579,1.1070000036852434,False
1883.5200000030454,1883.6000000010245,False
85.44299998902716,85.43400000780821,False
1956.7840000090655,1956.8789999902947,False
7.945999997900799,7.9519999999320135,False
2253.9749999996275,2254.0739999967627,False
18.427000002702698,18.406000002869405,False
1992.9209999972954,1993.030000012368,False
35.37499999220017,35.38000000116881,False
1680.2139999927022,1680.3299999883166,False
5.942999996477738,5.947999990894459,False
2090.3420000104234,2090.4440000012983,False
4.075000004377216,4.094999996596016,False
2133.438999997452,2133.5499999986496,False
49.813000005087815,49.837999991723336,False
1880.4010000021663,1880.5100000026869,False
34.759000001940876,34.761999995680526,False
2054.352999999537,2054.4479999953182,False
6.066000001737848,6.074999997508712,False
2123.8650000013877,2124.035000000731,False
4.581000001053326,4.581000001053326,False
1713.224999999511,1713.3709999907296,False
9.787999995751306,9.829000002355315,False
1861.9899999903282,1862.1280000079423,False
10.054999991552904,10.056999992229976,False
2484.2619999981252,2484.427000003052,False
31.072999991010875,31.06399999524001,False
2628.9689999975963,2629.0850000077626,False
5.044999998062849,5.026999991969205,False
1857.8589999960968,1857.9619999945862,False
8.79099998564925,8.793999993940815,False
2682.829999990645,2682.9299999953946,False
58.233000003383495,58.22000000625849,False
2061.7390000115847,2061.8609999946784,False
4.4360000028973445,4.442999997991137,False
1957.2880000050645,1957.3810000001686,False
3.337000001920387,3.333000000566244,False
1654.2219999973895,1654.3300000048475,False
9.86600000760518,9.854000003542751,False
2365.627000006498,2365.7549999916228,False
1.4099999971222132,1.4859999937471002,False
2113.158000007388,2113.272999995388,False
8.0080000043381,8.02000000840053,False
2521.563000002061,2521.689000001061,False
103.0999999929918,103.04300001007505,False
2223.5359999904176,2223.658000002615,False
3.5109999880660325,3.508000008878298,False
1759.7229999955744,1759.8789999901783,False
3.188999995472841,3.165000001899898,False
2771.194999993895,2771.3050000020303,False
37.07000000576954,37.11499999917578,False
1808.6489999986952,1808.7519999971846,False
6.345000001601875,6.338000006508082,False
2568.849000002956,2568.9560000027996,False
8.321999994223006,8.319000000483356,False
2234.88799999177,2234.9820000090403,False
57.5890000036452,57.38099999143742,False
1939.0069999935804,1939.1000000032363,False
17.72499999788124,17.69800001056865,False
1227.9669999988982,1228.0759999994189,False
1.401000001351349,1.4290000108303502,False
2020.9360000008019,2021.0150000057183,False
27.16800000052899,27.159000004758127,False
2161.4540000009583,2161.5619999938644,False
9.067000006325543,9.06599999871105,False
2060.851999995066,2060.961999988649,False
9.236999991117045,9.234999990439974,False
2477.617000011378,2477.72100000293,False
41.524000000208616,41.507999994792044,False
2259.44699998945,2259.4909999897936,False
7.157000000006519,7.157999993069097,False
2178.5930000041844,2178.744999997434,False
6.8710000050487,6.810000006225891,False
2182.3369999910938,2182.4589999887394,False
8.79700000223238,8.785000012721866,False
2037.131999997655,2037.2869999991963,False
4.602000000886619,4.604000001563691,False
1953.682999999728,1953.8089999987278,False
3.979999994044192,4.016000006231479,False
2346.7620000010356,2346.8809999903897,False
5.730999997467734,5.757000006269664,False
1980.7419999997364,1980.8540000085486,False
8.934999990742654,8.931000003940426,False
