rank,K,lag,n,rho,p,p_holm
0,2,0,1500,0.03131945544407145,0.22540389264755178,1.0
0,2,1,1499,-0.022720676897425244,0.379371834968275,1.0
0,2,2,1498,-0.013550093204741563,0.6002582697863994,1.0
0,2,3,1497,-0.03416684475386177,0.1864234341659202,1.0
0,2,4,1496,-0.033243444121407804,0.19876585756091195,1.0
0,2,5,1495,0.00940807627824405,0.7162544118997469,1.0
0,2,6,1494,0.028777580295997588,0.2663021038825275,1.0
0,2,7,1493,0.0019604761408113644,0.9396671912868252,1.0
0,2,8,1492,-0.002754301642176639,0.9153444624309184,1.0
0,2,9,1491,-0.012734981369721933,0.6231794049061452,1.0
0,2,10,1490,0.004267042021075766,0.869280439171506,1.0
0,2,11,1489,0.007302099552237082,0.7782982899654755,1.0
0,2,12,1488,-0.03205067020763885,0.2165997280749147,1.0
0,2,13,1487,-0.04749713760576416,0.06709148753786798,1.0
0,2,14,1486,-0.02203727281468172,0.39593928439786763,1.0
0,2,15,1485,0.0012372924708725682,0.9620033148159961,1.0
0,2,16,1484,-0.012819435128338455,0.6216991386658837,1.0
0,4,0,1500,0.005245595547505775,0.8391404467249246,1.0
0,4,1,1499,-0.04031931608904667,0.11867198670069905,1.0
0,4,2,1498,-0.037639520782246715,0.1453649555582775,1.0
0,4,3,1497,-0.01939989411965308,0.4532266852232115,1.0
0,4,4,1496,0.0010021200461219468,0.9691074331820223,1.0
0,4,5,1495,0.012712197236612847,0.6233353928769632,1.0
0,4,6,1494,0.01549899286814292,0.5494355258759999,1.0
0,4,7,1493,-0.00922780013545257,0.7216419524433362,1.0
0,4,8,1492,-0.0035673693206270895,0.8904936112840377,1.0
0,4,9,1491,-0.0014540666732682276,0.9552625431338531,1.0
0,4,10,1490,-0.015219865772199633,0.5571797642005769,1.0
0,4,11,1489,-0.030327685772450458,0.24217901416294724,1.0
0,4,12,1488,-0.03502237004807019,0.17693487234515026,1.0
0,4,13,1487,-0.03330851227810288,0.19924453610020768,1.0
0,4,14,1486,-0.024539102410776843,0.3445077353615644,1.0
0,4,15,1485,-0.006334352889991801,0.8073116730416717,1.0
0,4,16,1484,-0.052471870176756474,0.043274771773319065,1.0
0,8,0,1500,-0.008108156751736246,0.7536950261452645,1.0
0,8,1,1499,-0.030220943652192384,0.2422614769859635,1.0
0,8,2,1498,-0.014820601396296474,0.5665300877006009,1.0
0,8,3,1497,-0.023986272701087233,0.35371209392547476,1.0
0,8,4,1496,-0.005114490722056038,0.8433149798642217,1.0
0,8,5,1495,-0.000929463623625627,0.9713558186408228,1.0
0,8,6,1494,-0.0023441961001784244,0.9278637931623616,1.0
0,8,7,1493,-0.03134922525399461,0.2260499218817853,1.0
0,8,8,1492,-0.018129087913752912,0.48409451043313034,1.0
0,8,9,1491,-0.027600962807227125,0.28684064148687466,1.0
0,8,10,1490,-0.02379432601115614,0.35870660393074405,1.0
0,8,11,1489,-0.03151758462282645,0.22418789149287566,1.0
0,8,12,1488,-0.05708742111025725,0.0276603698169985,1.0
0,8,13,1487,-0.062120090387658415,0.016586306641158774,1.0
0,8,14,1486,-0.052793805550213874,0.041867222938463934,1.0
0,8,15,1485,-0.04060937370981821,0.11776168000924075,1.0
0,8,16,1484,-0.043951941757773894,0.09054314469110578,1.0
0,16,0,1500,-0.025400674189383052,0.32555705545538693,1.0
0,16,1,1499,-0.04874185421718832,0.05920315169280559,1.0
0,16,2,1498,-0.034994690452651335,0.17582615319888692,1.0
0,16,3,1497,-0.04104931200734561,0.11238024708087996,1.0
0,16,4,1496,-0.04398128863169263,0.08903386973559109,1.0
0,16,5,1495,-0.03650559579509136,0.15830747305057266,1.0
0,16,6,1494,-0.03732860436548374,0.14926535852808331,1.0
0,16,7,1493,-0.0507479142124862,0.04993880956841843,1.0
0,16,8,1492,-0.048669397326943586,0.06018135889243365,1.0
0,16,9,1491,-0.05170170822326509,0.0459292446104504,1.0
0,16,10,1490,-0.04767997588819306,0.06577210590748765,1.0
0,16,11,1489,-0.047221864353011844,0.06850619354257376,1.0
0,16,12,1488,-0.05622015911706775,0.030115873505198384,1.0
0,16,13,1487,-0.06680610172774007,0.009970074785879083,0.8275162072279639
0,16,14,1486,-0.05834453341714172,0.024504377831597906,1.0
0,16,15,1485,-0.043454952558361834,0.09414091276937309,1.0
0,16,16,1484,-0.046722142067766065,0.07196649139662643,1.0
0,32,0,1500,-0.05756676375436936,0.02577789527534733,1.0
0,32,1,1499,-0.06833872561567216,0.008126881900298555,0.6826580796250786
0,32,2,1498,-0.059242579663220045,0.021846556255761748,1.0
0,32,3,1497,-0.06100204141379968,0.018252186241815006,1.0
0,32,4,1496,-0.05545618787408861,0.03196876599945951,1.0
0,32,5,1495,-0.048783579970222445,0.059325495150723016,1.0
0,32,6,1494,-0.04978366669409397,0.05437522239073677,1.0
0,32,7,1493,-0.06183997586146832,0.016860164360019223,1.0
0,32,8,1492,-0.05660335590809047,0.028793281428127156,1.0
0,32,9,1491,-0.05582442698046031,0.031126805294470827,1.0
0,32,10,1490,-0.05653643115699379,0.02909111978824844,1.0
0,32,11,1489,-0.05526720570526978,0.03296858226758234,1.0
0,32,12,1488,-0.06386609417308498,0.013737516466614865,1.0
0,32,13,1487,-0.07037023677870245,0.0066340741241580105,0.5638963005534309
0,32,14,1486,-0.06601056416805079,0.010919811116194413,0.8954245115279419
0,32,15,1485,-0.056946137246132136,0.02820723750966782,1.0
0,32,16,1484,-0.06051527175569261,0.019733048541440014,1.0
1,2,0,1500,0.00040489032359979104,0.9874990466217777,1.0
1,2,1,1499,-0.03467470935347068,0.1796668351825141,1.0
