global_step,epoch,train/loss,train/accept_len,train/accept_rate
194,0,1.039,1.12,0.096
195,0,0.992,1.162,0.125
196,0,1.016,1.125,0.098
197,0,1.023,1.195,0.136
198,0,0.977,1.175,0.132
199,0,1.023,1.177,0.145
200,0,1.031,1.209,0.139
201,0,1.008,1.309,0.168
202,0,1.047,1.163,0.124
203,0,1.016,1.124,0.092
204,0,1.016,1.19,0.147
205,0,1.031,1.224,0.128
206,0,1.039,1.087,0.054
207,0,1.016,1.129,0.115
208,0,1.062,1.182,0.127
209,0,1.047,1.27,0.177
210,0,1.062,1.149,0.126
211,0,0.953,1.101,0.089
212,0,1.047,1.166,0.121
213,0,1.008,1.04,0.042
214,0,1.016,1.142,0.099
215,0,1.031,1.153,0.104
216,0,1.031,1.246,0.181
217,0,1.031,1.204,0.151
218,0,1.062,1.194,0.136
219,0,1.008,1.296,0.175
220,0,1.055,1.074,0.073
221,0,0.984,1.162,0.112
222,0,1.062,1.124,0.111
223,0,1.039,1.221,0.12
224,0,1.016,1.202,0.139
225,0,1.094,1.088,0.074
226,0,1.023,1.185,0.123
227,0,1.031,1.306,0.199
228,0,1.031,1.23,0.171
229,0,1.0,1.28,0.169
230,0,1.047,1.301,0.173
231,0,1.07,1.131,0.109
232,0,1.023,1.3,0.172
233,0,0.996,1.185,0.11
234,0,1.047,1.387,0.251
235,0,1.039,1.156,0.115
236,0,1.039,1.209,0.146
237,0,1.039,1.185,0.137
238,0,1.008,1.215,0.142
239,0,1.031,1.165,0.12
240,0,1.016,1.119,0.107
241,0,1.039,1.347,0.223
242,0,1.016,1.225,0.141
243,0,1.031,1.363,0.202
244,0,0.977,1.479,0.267
245,0,1.102,1.184,0.136
246,0,1.008,1.147,0.106
247,0,1.047,1.343,0.213
248,0,1.055,1.146,0.138
249,0,1.0,1.181,0.117
250,0,1.055,1.278,0.22
251,0,1.016,1.342,0.235
252,0,0.926,1.06,0.042
253,0,1.016,1.399,0.228
254,0,1.031,1.229,0.146
255,0,1.016,1.26,0.144
256,0,1.062,1.204,0.147
257,0,1.055,1.329,0.201
258,0,1.023,1.15,0.113
259,0,1.031,1.334,0.21
260,0,1.117,1.173,0.143
261,0,1.031,1.286,0.168
262,0,1.031,1.28,0.19
263,0,1.102,1.075,0.057
264,0,1.031,1.257,0.174
265,0,1.047,1.313,0.191
266,0,1.047,1.134,0.11
267,0,1.141,1.249,0.184
268,0,1.047,1.116,0.103
269,0,1.031,1.385,0.238
270,0,1.062,1.216,0.139
271,0,1.062,1.239,0.171
272,0,1.031,1.207,0.137
