t,kind,rank,worker,pid,index,wall_ms,cpu_ms,ok,n_in,seq_len,global_step,epoch,local_step,load_ms,t_batch,t_fwd,t_bwd,t_opt,t_end,wid
1789039561.5907,sample,3,1,29248,4573.0,350.045,40.472,True,,,,,,,,,,,,3/w1
1789039561.9186,sample,3,1,29248,4817.0,327.878,34.219,True,,,,,,,,,,,,3/w1
1789039562.3222,sample,3,1,29248,2584.0,403.444,31.825,True,,,,,,,,,,,,3/w1
1789039562.8269,sample,3,1,29248,2239.0,504.676,26.652,True,,,,,,,,,,,,3/w1
1789039563.1118,sample,3,1,29248,4151.0,284.752,23.783,True,,,,,,,,,,,,3/w1
1789039563.4291,sample,3,1,29248,2362.0,317.212,17.359,True,,,,,,,,,,,,3/w1
1789039563.8782,sample,3,1,29248,2901.0,356.414,108.393,True,,,,,,,,,,,,3/w1
1789039564.2729,sample,3,1,29248,2038.0,394.613,59.258,True,,,,,,,,,,,,3/w1
1789039564.87,sample,3,1,29248,1289.0,597.031,41.916,True,,,,,,,,,,,,3/w1
1789039565.2289,sample,3,1,29248,3665.0,358.841,32.09,True,,,,,,,,,,,,3/w1
1789039565.5232,sample,3,1,29248,30.0,294.196,16.227,True,,,,,,,,,,,,3/w1
1789039566.0015,sample,3,1,29248,518.0,385.514,111.076,True,,,,,,,,,,,,3/w1
1789039566.2985,sample,3,1,29248,680.0,296.979,54.922,True,,,,,,,,,,,,3/w1
1789039566.6142,sample,3,1,29248,3047.0,315.54,50.782,True,,,,,,,,,,,,3/w1
1789039567.1498,sample,3,1,29248,3164.0,535.561,24.331,True,,,,,,,,,,,,3/w1
1789039567.4306,sample,3,1,29248,4831.0,280.657,19.029,True,,,,,,,,,,,,3/w1
1789039567.9542,sample,3,1,29248,1804.0,397.754,103.06,True,,,,,,,,,,,,3/w1
1789039568.2515,sample,3,1,29248,4121.0,297.257,53.561,True,,,,,,,,,,,,3/w1
1789039568.4521,sample,3,1,29248,4160.0,200.456,30.967,True,,,,,,,,,,,,3/w1
1789039569.0081,sample,3,1,29248,3905.0,555.932,32.821,True,,,,,,,,,,,,3/w1
1789039569.2378,sample,3,1,29248,2519.0,229.566,21.019,True,,,,,,,,,,,,3/w1
1789039569.6343,sample,3,1,29248,4442.0,396.41,20.028,True,,,,,,,,,,,,3/w1
1789039570.0744,sample,3,1,29248,1977.0,345.769,130.123,True,,,,,,,,,,,,3/w1
1789039570.5966,sample,3,1,29248,3817.0,522.098,65.898,True,,,,,,,,,,,,3/w1
1789039570.912,sample,3,1,29248,2048.0,315.276,40.096,True,,,,,,,,,,,,3/w1
1789039571.1663,sample,3,1,29248,202.0,254.226,32.422,True,,,,,,,,,,,,3/w1
1789039571.4791,sample,3,1,29248,2152.0,312.717,18.729,True,,,,,,,,,,,,3/w1
1789039571.7795,sample,3,1,29248,1548.0,300.294,15.177,True,,,,,,,,,,,,3/w1
1789039572.3577,sample,3,1,29248,1911.0,474.098,121.154,True,,,,,,,,,,,,3/w1
1789039572.7027,sample,3,1,29248,4001.0,344.939,55.582,True,,,,,,,,,,,,3/w1
1789039573.002,sample,3,1,29248,356.0,299.22,44.096,True,,,,,,,,,,,,3/w1
