t,kind,rank,worker,pid,index,wall_ms,cpu_ms,ok,n_in,seq_len,global_step,epoch,local_step,load_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789038329.3847,timeline,0,-1,28340,,,,,,,9.0,0.0,10.0,0.124,71787.18825,71787.279868,71787.300639,71787.300639,71787.300655
1789038329.3886,timeline,2,-1,28342,,,,,,,9.0,0.0,10.0,0.265,71787.190349,71787.280614,71787.30454,71787.30454,71787.304558
1789038329.3858,timeline,3,-1,28343,,,,,,,9.0,0.0,10.0,0.097,71787.190941,71787.281081,71787.301725,71787.301725,71787.301748
1789038331.0515,timeline,0,-1,28340,,,,,,,10.0,0.0,11.0,0.129,71787.300931,71788.946782,71788.967387,71788.967387,71788.967406
1789038331.0522,timeline,1,-1,28341,,,,,,,10.0,0.0,11.0,343.894,71787.647523,71788.94767,71788.968079,71788.968079,71788.968097
1789038331.0512,timeline,2,-1,28342,,,,,,,10.0,0.0,11.0,603.377,71787.908163,71788.946173,71788.967078,71788.967078,71788.967101
1789038331.0495,timeline,3,-1,28343,,,,,,,10.0,0.0,11.0,1554.182,71788.856183,71788.944722,71788.965385,71788.965385,71788.965405
1789038331.4762,timeline,3,-1,28343,,,,,,,11.0,0.0,12.0,0.113,71788.965883,71789.130686,71789.392099,71789.392099,71789.392111
1789038331.4658,timeline,2,-1,28342,,,,,,,11.0,0.0,12.0,0.13,71788.967645,71789.130944,71789.381688,71789.381688,71789.381706
1789038331.47,timeline,0,-1,28340,,,,,,,11.0,0.0,12.0,0.146,71788.968076,71789.130603,71789.38589,71789.38589,71789.385902
1789038331.4662,timeline,1,-1,28341,,,,,,,11.0,0.0,12.0,0.109,71788.968363,71789.129161,71789.382108,71789.382108,71789.382121
1789038333.3991,timeline,0,-1,28340,,,,,,,12.0,0.0,13.0,0.129,71789.386348,71791.294557,71791.315055,71791.315055,71791.315074
1789038333.4016,timeline,1,-1,28341,,,,,,,12.0,0.0,13.0,859.162,71790.24152,71791.296919,71791.317489,71791.317489,71791.317509
1789038333.4004,timeline,2,-1,28342,,,,,,,12.0,0.0,13.0,1508.049,71790.889995,71791.295214,71791.316354,71791.316354,71791.316369
1789038333.4009,timeline,3,-1,28343,,,,,,,12.0,0.0,13.0,1811.81,71791.20417,71791.296209,71791.31676,71791.31676,71791.316776
1789038333.582,timeline,0,-1,28340,,,,,,,13.0,0.0,14.0,0.46,71791.31584,71791.478356,71791.497953,71791.497953,71791.497971
1789038333.5818,timeline,2,-1,28342,,,,,,,13.0,0.0,14.0,0.101,71791.316624,71791.477839,71791.497755,71791.497755,71791.497766
1789038333.5814,timeline,3,-1,28343,,,,,,,13.0,0.0,14.0,0.107,71791.317039,71791.47753,71791.497314,71791.497314,71791.49733
1789038333.5834,timeline,1,-1,28341,,,,,,,13.0,0.0,14.0,0.123,71791.317796,71791.479271,71791.499293,71791.499293,71791.499307
1789038336.1997,timeline,0,-1,28340,,,,,,,14.0,0.0,15.0,0.147,71791.49843,71793.857796,71794.115626,71794.115626,71794.115643
1789038336.2252,timeline,1,-1,28341,,,,,,,14.0,0.0,15.0,613.087,71792.11261,71793.857755,71794.141103,71794.141103,71794.141117
1789038336.1929,timeline,2,-1,28342,,,,,,,14.0,0.0,15.0,1473.988,71792.971966,71793.856842,71794.108781,71794.108781,71794.108791
1789038336.1928,timeline,3,-1,28343,,,,,,,14.0,0.0,15.0,2269.291,71793.766858,71793.856528,71794.108727,71794.108727,71794.108739
1789038336.3358,timeline,3,-1,28343,,,,,,,15.0,0.0,16.0,0.08,71794.109115,71794.231289,71794.25176,71794.25176,71794.251772
1789038336.335,timeline,2,-1,28342,,,,,,,15.0,0.0,16.0,0.092,71794.109135,71794.230261,71794.250892,71794.250892,71794.250903
1789038336.3362,timeline,0,-1,28340,,,,,,,15.0,0.0,16.0,0.265,71794.116517,71794.231517,71794.25216,71794.25216,71794.252175
1789038336.3392,timeline,1,-1,28341,,,,,,,15.0,0.0,16.0,0.088,71794.14147,71794.235276,71794.255132,71794.255132,71794.255145
1789038338.5563,timeline,0,-1,28340,,,,,,,16.0,0.0,17.0,0.135,71794.252718,71796.450639,71796.472193,71796.472193,71796.472216
1789038338.5558,timeline,1,-1,28341,,,,,,,16.0,0.0,17.0,0.101,71794.255498,71796.45154,71796.471666,71796.471666,71796.471682
1789038338.5544,timeline,2,-1,28342,,,,,,,16.0,0.0,17.0,1415.005,71795.666138,71796.449905,71796.470285,71796.470285,71796.470299
1789038338.5539,timeline,3,-1,28343,,,,,,,16.0,0.0,17.0,2106.977,71796.358971,71796.448474,71796.469839,71796.469839,71796.469857
1789038338.968,timeline,3,-1,28343,,,,,,,17.0,0.0,18.0,0.09,71796.470097,71796.633098,71796.883917,71796.883917,71796.883932
1789038338.9645,timeline,2,-1,28342,,,,,,,17.0,0.0,18.0,0.095,71796.470544,71796.63221,71796.880444,71796.880444,71796.880462
1789038338.9745,timeline,1,-1,28341,,,,,,,17.0,0.0,18.0,0.105,71796.471933,71796.636726,71796.890443,71796.890443,71796.890458
1789038338.9841,timeline,0,-1,28340,,,,,,,17.0,0.0,18.0,0.15,71796.472544,71796.635153,71796.899977,71796.899977,71796.899994
1789038340.8514,timeline,1,-1,28341,,,,,,,18.0,0.0,19.0,0.099,71796.890895,71798.747204,71798.76735,71798.76735,71798.767372
1789038340.8575,timeline,0,-1,28340,,,,,,,18.0,0.0,19.0,0.142,71796.900329,71798.746136,71798.773391,71798.773391,71798.773418
1789038340.8481,timeline,2,-1,28342,,,,,,,18.0,0.0,19.0,1022.268,71797.903078,71798.742205,71798.763974,71798.763974,71798.763989
1789038340.848,timeline,3,-1,28343,,,,,,,18.0,0.0,19.0,1767.746,71798.652179,71798.742488,71798.763874,71798.763874,71798.763895
1789038341.2275,timeline,2,-1,28342,,,,,,,19.0,0.0,20.0,0.118,71798.764514,71799.122854,71799.143429,71799.143429,71799.143448
1789038341.2297,timeline,1,-1,28341,,,,,,,19.0,0.0,20.0,0.118,71798.767817,71799.124498,71799.145595,71799.145595,71799.145617
1789038341.2302,timeline,0,-1,28340,,,,,,,19.0,0.0,20.0,0.187,71798.774054,71799.125543,71799.146153,71799.146153,71799.146176
1789038341.2265,timeline,3,-1,28343,,,,,,,19.0,0.0,20.0,267.204,71799.031334,71799.121727,71799.142373,71799.142373,71799.14239
