t,kind,rank,worker,pid,index,wall_ms,cpu_ms,ok,n_in,seq_len,global_step,epoch,local_step,load_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789039674.812,collate,3,1,29248,,42.731,42.698,,7.0,1.0,,,,,,,,,
1789039677.0574,collate,3,1,29248,,35.681,35.646,,6.0,1.0,,,,,,,,,
1789039679.5802,collate,3,1,29248,,31.676,31.514,,8.0,1.0,,,,,,,,,
1789039681.9251,collate,3,1,29248,,32.5,32.43,,7.0,1.0,,,,,,,,,
1789039684.1741,collate,3,1,29248,,32.682,32.641,,7.0,1.0,,,,,,,,,
1789039685.8423,collate,3,1,29248,,51.165,51.058,,4.0,1.0,,,,,,,,,
1789039687.6956,collate,3,1,29248,,41.838,41.738,,5.0,1.0,,,,,,,,,
1789039690.1843,collate,3,1,29248,,36.526,36.458,,7.0,1.0,,,,,,,,,
1789039691.5666,collate,3,1,29248,,37.211,37.108,,3.0,1.0,,,,,,,,,
1789039693.6116,collate,3,1,29248,,30.022,29.945,,6.0,1.0,,,,,,,,,
1789039696.1057,collate,3,1,29248,,33.715,33.672,,6.0,1.0,,,,,,,,,
1789039697.7574,collate,3,1,29248,,49.575,49.509,,4.0,1.0,,,,,,,,,
1789039699.8345,collate,3,1,29248,,33.953,33.912,,6.0,1.0,,,,,,,,,
1789039702.0954,collate,3,1,29248,,29.138,29.099,,6.0,1.0,,,,,,,,,
1789039704.0953,collate,3,1,29248,,37.337,37.268,,6.0,1.0,,,,,,,,,
1789039707.381,collate,3,1,29248,,32.466,32.424,,9.0,1.0,,,,,,,,,
1789039710.1471,collate,3,1,29248,,32.728,32.701,,8.0,1.0,,,,,,,,,
1789039712.2167,collate,3,1,29248,,45.329,45.25,,6.0,1.0,,,,,,,,,
1789039714.6371,collate,3,1,29248,,70.721,70.601,,7.0,1.0,,,,,,,,,
1789039716.5847,collate,3,1,29248,,40.948,40.849,,5.0,1.0,,,,,,,,,
1789039718.3923,collate,3,1,29248,,35.798,35.732,,5.0,1.0,,,,,,,,,
1789039720.479,collate,3,1,29248,,31.706,31.668,,6.0,1.0,,,,,,,,,
1789039722.2645,collate,3,1,29248,,51.153,51.059,,4.0,1.0,,,,,,,,,
1789039724.5549,collate,3,1,29248,,42.074,42.001,,6.0,1.0,,,,,,,,,
1789039726.6538,collate,3,1,29248,,40.122,40.054,,6.0,1.0,,,,,,,,,
1789039729.3704,collate,3,1,29248,,41.851,41.79,,7.0,1.0,,,,,,,,,
1789039732.2203,collate,3,1,29248,,36.2,36.13,,7.0,1.0,,,,,,,,,
1789039734.6475,collate,3,1,29248,,32.736,32.709,,7.0,1.0,,,,,,,,,
1789039736.6823,collate,3,1,29248,,55.329,55.245,,5.0,1.0,,,,,,,,,
1789039738.4729,collate,3,1,29248,,33.023,32.978,,4.0,1.0,,,,,,,,,
1789039740.8334,collate,3,1,29248,,43.571,43.48,,6.0,1.0,,,,,,,,,
1789039742.9194,collate,3,1,29248,,37.957,37.908,,6.0,1.0,,,,,,,,,
1789039745.1886,collate,3,1,29248,,31.678,31.608,,7.0,1.0,,,,,,,,,
1789039747.097,collate,3,1,29248,,34.804,34.724,,5.0,1.0,,,,,,,,,
1789039749.1573,collate,3,1,29248,,54.186,54.031,,5.0,1.0,,,,,,,,,
1789039750.9876,collate,3,1,29248,,45.631,45.538,,5.0,1.0,,,,,,,,,
1789039753.1948,collate,3,1,29248,,44.413,44.315,,5.0,1.0,,,,,,,,,
1789039755.352,collate,3,1,29248,,35.191,35.156,,6.0,1.0,,,,,,,,,
1789039757.7178,collate,3,1,29248,,33.338,33.288,,6.0,1.0,,,,,,,,,
1789039759.764,collate,3,1,29248,,51.232,51.183,,5.0,1.0,,,,,,,,,
1789039761.4931,collate,3,1,29248,,44.836,44.721,,4.0,1.0,,,,,,,,,
1789039763.4529,collate,3,1,29248,,49.125,49.001,,5.0,1.0,,,,,,,,,
1789039765.8256,collate,3,1,29248,,38.769,38.726,,7.0,1.0,,,,,,,,,
1789039768.1291,collate,3,1,29248,,30.85,30.809,,6.0,1.0,,,,,,,,,
1789039770.5775,collate,3,1,29248,,52.359,52.234,,6.0,1.0,,,,,,,,,
1789039772.8781,collate,3,1,29248,,42.621,42.576,,6.0,1.0,,,,,,,,,
1789039774.9528,collate,3,1,29248,,39.136,39.014,,5.0,1.0,,,,,,,,,
1789039777.2422,collate,3,1,29248,,45.822,45.694,,6.0,1.0,,,,,,,,,
1789039779.0796,collate,3,1,29248,,37.689,37.574,,5.0,1.0,,,,,,,,,
1789039781.1447,collate,3,1,29248,,46.269,46.152,,5.0,1.0,,,,,,,,,
1789039783.5732,collate,3,1,29248,,52.376,52.309,,7.0,1.0,,,,,,,,,
1789039785.2721,collate,3,1,29248,,42.995,42.918,,7.0,1.0,,,,,,,,,
1789039786.8025,collate,3,1,29248,,32.427,32.375,,6.0,1.0,,,,,,,,,
1789039788.2587,collate,3,1,29248,,38.086,38.038,,7.0,1.0,,,,,,,,,
1789039788.7302,collate,3,1,29248,,11.329,11.323,,2.0,1.0,,,,,,,,,
1789039539.292,collate,3,0,29237,,77.811,77.485,,6.0,1.0,,,,,,,,,
1789039541.4421,collate,3,0,29237,,53.219,52.983,,5.0,1.0,,,,,,,,,
1789039543.4571,collate,3,0,29237,,49.266,49.128,,6.0,1.0,,,,,,,,,
1789039545.8424,collate,3,0,29237,,61.407,61.26,,7.0,1.0,,,,,,,,,
1789039548.6522,collate,3,0,29237,,32.317,32.266,,8.0,1.0,,,,,,,,,
1789039550.9217,collate,3,0,29237,,42.05,41.947,,6.0,1.0,,,,,,,,,
1789039552.9395,collate,3,0,29237,,35.308,35.281,,5.0,1.0,,,,,,,,,
1789039555.4375,collate,3,0,29237,,56.647,56.557,,6.0,1.0,,,,,,,,,
1789039557.9279,collate,3,0,29237,,35.247,35.213,,6.0,1.0,,,,,,,,,
1789039560.2889,collate,3,0,29237,,36.166,36.057,,6.0,1.0,,,,,,,,,
1789039561.7569,collate,3,0,29237,,55.195,55.092,,3.0,1.0,,,,,,,,,
1789039563.5356,collate,3,0,29237,,41.569,41.524,,5.0,1.0,,,,,,,,,
1789039566.1211,collate,3,0,29237,,33.603,33.525,,8.0,1.0,,,,,,,,,
1789039568.3756,collate,3,0,29237,,73.351,73.227,,6.0,1.0,,,,,,,,,
1789039571.0922,collate,3,0,29237,,33.281,33.219,,7.0,1.0,,,,,,,,,
1789039573.288,collate,3,0,29237,,392.607,391.981,,5.0,1.0,,,,,,,,,
1789039575.2445,collate,3,0,29237,,46.742,46.685,,5.0,1.0,,,,,,,,,
1789039577.6882,collate,3,0,29237,,89.87,89.735,,6.0,1.0,,,,,,,,,
1789039581.051,collate,3,0,29237,,34.021,33.989,,9.0,1.0,,,,,,,,,
1789039582.1926,collate,3,0,29237,,27.794,27.74,,3.0,1.0,,,,,,,,,
