rank,step,n_docs,total_tokens,packed_tokens,collate_ms,sample_sum_ms,sample_max_ms,sample_mean_tok,load_ms,docs_tl,bucket
0,62,5,3876.0,3876.0,47.368,2055.776,665.171,775.2,0.209,5,5
0,63,6,3875.0,3875.0,20.464,2408.639,711.562,645.8333333333334,0.137,6,6
0,64,4,4014.0,4014.0,53.97,2001.2130000000002,1013.812,1003.5,0.145,4,4
0,65,5,3921.0,3921.0,284.105,2433.5190000000002,846.561,784.2,0.157,5,5
0,66,4,3918.0,3918.0,45.687,2177.6150000000002,1169.642,979.5,0.124,4,4
0,67,4,3635.0,3635.0,82.296,1918.661,750.283,908.75,0.167,4,4
0,68,4,3766.0,3766.0,49.628,1837.598,898.718,941.5,0.177,4,4
0,69,4,3777.0,3777.0,44.529,1661.592,759.893,944.25,0.164,4,4
0,70,6,4032.0,4032.0,76.633,2060.1270000000004,414.248,672.0,0.147,6,6
0,71,6,3965.0,3965.0,37.009,2502.5200000000004,539.509,660.8333333333334,0.16,6,6
0,72,4,4060.0,4060.0,73.368,1912.9040000000002,955.999,1015.0,0.133,4,4
0,73,7,3958.0,3958.0,24.067,2518.8599999999997,576.634,565.4285714285714,0.146,7,7
0,74,6,4027.0,4027.0,75.744,2424.727,729.031,671.1666666666666,0.225,6,6
0,75,7,3983.0,3983.0,36.514,2629.286,560.678,569.0,0.139,7,7
0,76,6,4028.0,4028.0,28.137,2263.5910000000003,517.767,671.3333333333334,0.198,6,6
0,77,6,3838.0,3838.0,23.218,2434.4539999999997,645.988,639.6666666666666,0.14,6,6
0,78,4,3958.0,3958.0,79.251,2069.9120000000003,1008.291,989.5,0.163,4,4
0,79,5,3882.0,3882.0,49.669,2221.482,795.509,776.4,0.151,5,5
0,80,4,3905.0,3905.0,152.407,2202.98,927.794,976.25,0.216,4,4
0,81,3,3789.0,3789.0,91.086,1583.3220000000001,861.087,1263.0,0.162,3,3
0,82,5,4090.0,4090.0,62.797,2273.477,775.041,818.0,0.165,5,5
0,83,8,3750.0,3750.0,46.46,2821.7699999999995,597.983,468.75,0.158,8,8+
0,84,3,3759.0,3759.0,92.698,1659.416,945.596,1253.0,0.145,3,3
0,85,6,3706.0,3706.0,28.79,2469.1699999999996,639.357,617.6666666666666,0.152,6,6
0,86,4,4033.0,4033.0,108.783,2040.46,938.106,1008.25,0.184,4,4
0,87,3,3681.0,3681.0,26.652,1550.107,956.254,1227.0,0.16,3,3
0,88,3,3928.0,3928.0,59.861,1634.489,984.828,1309.3333333333333,0.169,3,3
0,89,5,3959.0,3959.0,50.872,1989.2620000000002,590.262,791.8,0.173,5,5
