bucket,n,docs,tok,sample_sum_p50,sample_sum_p90,collate_p50,load_p50,load_p90
1,1,1.0,3072.0,1088.139,1088.139,25.33,0.16,0.16
2,50,2.0,3588.88,1363.7375000000002,1511.6022,36.307500000000005,0.1755,0.23310000000000003
3,379,3.0,3810.934036939314,1636.611,1831.2158,40.842,0.168,0.25199999999999995
4,800,4.0,3857.20875,1891.915,2110.6217,44.14,0.164,0.48690000000000133
5,1690,5.0,3849.410650887574,2145.5370000000003,2404.4228000000003,46.2205,0.152,1684.0915000000002
6,1902,6.0,3897.371713985279,2425.9205,2678.3288000000002,47.099500000000006,0.144,1841.7272000000005
7,924,7.0,3929.972943722944,2675.6994999999997,2952.3177,48.2385,0.142,1868.7254
8+,254,8.118110236220472,3960.4055118110236,2951.2464999999997,3267.0151,49.379000000000005,0.137,1916.9063
