t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,index,wall_ms,cpu_ms,ok,n_in,seq_len,t_batch,t_fwd,t_bwd,t_opt,t_end
1789039877.2847,timeline,0,-1,29429,9.0,0.0,10.0,0.121,,,,,,,73334.528988,73335.180466,73335.200589,73335.200589,73335.20061
1789039877.2895,timeline,3,-1,29432,9.0,0.0,10.0,503.073,,,,,,,73335.075074,73335.180466,73335.205395,73335.205395,73335.205421
1789039877.2897,timeline,2,-1,29431,9.0,0.0,10.0,571.834,,,,,,,73335.084328,73335.186236,73335.205637,73335.205637,73335.205653
1789039878.4785,timeline,0,-1,29429,10.0,0.0,11.0,0.177,,,,,,,73335.201072,73336.372796,73336.394406,73336.394406,73336.394423
1789039878.5318,timeline,2,-1,29431,10.0,0.0,11.0,0.526,,,,,,,73335.206525,73336.425919,73336.447703,73336.447703,73336.447721
1789039878.4836,timeline,3,-1,29432,10.0,0.0,11.0,75.171,,,,,,,73335.280824,73336.377015,73336.399543,73336.399543,73336.399566
1789039878.4794,timeline,1,-1,29430,10.0,0.0,11.0,1078.219,,,,,,,73336.281537,73336.374984,73336.395327,73336.395327,73336.395344
1789039880.4158,timeline,0,-1,29429,11.0,0.0,12.0,0.153,,,,,,,73336.394888,73338.005733,73338.331711,73338.331711,73338.331726
1789039880.3432,timeline,1,-1,29430,11.0,0.0,12.0,70.949,,,,,,,73336.466488,73338.007801,73338.25909,73338.25909,73338.259102
1789039880.4211,timeline,3,-1,29432,11.0,0.0,12.0,1211.762,,,,,,,73337.611616,73338.027437,73338.336969,73338.336969,73338.336984
1789039880.3598,timeline,2,-1,29431,11.0,0.0,12.0,1465.135,,,,,,,73337.913132,73338.009428,73338.275688,73338.275688,73338.275704
1789039881.0012,timeline,2,-1,29431,12.0,0.0,13.0,0.098,,,,,,,73338.276142,73338.893718,73338.917123,73338.917123,73338.917146
1789039881.0009,timeline,0,-1,29429,12.0,0.0,13.0,0.149,,,,,,,73338.332191,73338.894772,73338.916845,73338.916845,73338.916863
1789039881.0002,timeline,3,-1,29432,12.0,0.0,13.0,0.123,,,,,,,73338.337297,73338.895575,73338.916113,73338.916113,73338.916131
1789039880.9992,timeline,1,-1,29430,12.0,0.0,13.0,542.602,,,,,,,73338.801931,73338.893444,73338.915078,73338.915078,73338.915103
1789039882.3134,timeline,0,-1,29429,13.0,0.0,14.0,0.161,,,,,,,73338.917431,73340.207839,73340.22935,73340.22935,73340.229371
1789039882.3146,timeline,1,-1,29430,13.0,0.0,14.0,539.797,,,,,,,73339.455154,73340.210299,73340.23047,73340.23047,73340.230483
1789039882.3115,timeline,3,-1,29432,13.0,0.0,14.0,1119.483,,,,,,,73340.035864,73340.207356,73340.227366,73340.227366,73340.227382
