t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,index,wall_ms,cpu_ms,ok,n_in,seq_len,t_batch,t_fwd,t_bwd,t_opt,t_end,wid
1789041114.6475,sample,3,0,30301,,,,,4573.0,348.313,41.018,True,,,,,,,,3/w0
1789041114.9657,sample,3,0,30301,,,,,4817.0,318.157,34.939,True,,,,,,,,3/w0
1789041115.4024,sample,3,0,30301,,,,,2584.0,436.622,31.683,True,,,,,,,,3/w0
1789041115.7457,sample,3,0,30301,,,,,2239.0,343.198,26.873,True,,,,,,,,3/w0
1789041116.2123,sample,3,0,30301,,,,,4151.0,466.483,22.6,True,,,,,,,,3/w0
1789041116.4426,sample,3,0,30301,,,,,2362.0,230.27,17.317,True,,,,,,,,3/w0
1789041117.0131,sample,3,0,30301,,,,,2901.0,481.647,97.924,True,,,,,,,,3/w0
1789041117.3287,sample,3,0,30301,,,,,2038.0,315.524,56.229,True,,,,,,,,3/w0
1789041117.86,sample,3,0,30301,,,,,1289.0,531.214,62.145,True,,,,,,,,3/w0
1789041118.2222,sample,3,0,30301,,,,,3665.0,362.016,37.227,True,,,,,,,,3/w0
1789041118.5807,sample,3,0,30301,,,,,30.0,358.505,16.884,True,,,,,,,,3/w0
1789041119.0348,sample,3,0,30301,,,,,3084.0,357.916,105.915,True,,,,,,,,3/w0
1789041119.5255,sample,3,0,30301,,,,,551.0,490.659,59.612,True,,,,,,,,3/w0
1789041120.0091,sample,3,0,30301,,,,,2140.0,483.507,43.298,True,,,,,,,,3/w0
1789041120.3951,sample,3,0,30301,,,,,2097.0,385.867,27.118,True,,,,,,,,3/w0
1789041120.773,sample,3,0,30301,,,,,4159.0,377.791,22.544,True,,,,,,,,3/w0
1789041121.1298,sample,3,0,30301,,,,,2042.0,356.714,11.224,True,,,,,,,,3/w0
1789041121.6174,sample,3,0,30301,,,,,2377.0,397.014,95.528,True,,,,,,,,3/w0
1789041121.9964,sample,3,0,30301,,,,,4304.0,378.881,47.74,True,,,,,,,,3/w0
1789041122.3468,sample,3,0,30301,,,,,1757.0,350.308,29.733,True,,,,,,,,3/w0
1789041122.8197,sample,3,0,30301,,,,,4075.0,472.883,25.806,True,,,,,,,,3/w0
1789041123.1176,sample,3,0,30301,,,,,428.0,297.829,23.287,True,,,,,,,,3/w0
1789041123.5225,sample,3,0,30301,,,,,2498.0,404.82,17.789,True,,,,,,,,3/w0
1789041123.7848,sample,3,0,30301,,,,,2017.0,262.177,13.403,True,,,,,,,,3/w0
1789041124.1973,sample,3,0,30301,,,,,2455.0,327.37,98.827,True,,,,,,,,3/w0
1789041124.6644,sample,3,0,30301,,,,,3607.0,466.997,48.451,True,,,,,,,,3/w0
1789041125.0176,sample,3,0,30301,,,,,1590.0,353.116,38.58,True,,,,,,,,3/w0
1789041125.4848,sample,3,0,30301,,,,,3544.0,467.155,37.351,True,,,,,,,,3/w0
1789041125.6924,sample,3,0,30301,,,,,1775.0,207.439,27.792,True,,,,,,,,3/w0
1789041126.1329,sample,3,0,30301,,,,,201.0,356.355,142.69,True,,,,,,,,3/w0
1789041126.4795,sample,3,0,30301,,,,,3970.0,346.485,62.811,True,,,,,,,,3/w0
1789041126.7035,sample,3,0,30301,,,,,1848.0,223.942,32.827,True,,,,,,,,3/w0
1789041127.3688,sample,3,0,30301,,,,,2702.0,665.276,17.56,True,,,,,,,,3/w0
1789041127.7406,sample,3,0,30301,,,,,3229.0,371.696,14.728,True,,,,,,,,3/w0
1789041128.2582,sample,3,0,30301,,,,,1193.0,404.823,112.594,True,,,,,,,,3/w0
1789041128.5417,sample,3,0,30301,,,,,3838.0,283.437,50.875,True,,,,,,,,3/w0
1789041129.0329,sample,3,0,30301,,,,,2518.0,491.079,31.038,True,,,,,,,,3/w0
1789041129.4507,sample,3,0,30301,,,,,4625.0,417.738,23.967,True,,,,,,,,3/w0
1789041129.78,sample,3,0,30301,,,,,3112.0,329.213,18.856,True,,,,,,,,3/w0
1789041129.9384,sample,3,0,30301,,,,,153.0,158.296,13.812,True,,,,,,,,3/w0
1789041130.2141,sample,3,0,30301,,,,,4178.0,190.509,83.421,True,,,,,,,,3/w0
1789041130.4939,sample,3,0,30301,,,,,104.0,279.66,39.18,True,,,,,,,,3/w0
1789041130.9253,sample,3,0,30301,,,,,1760.0,431.343,31.891,True,,,,,,,,3/w0
1789041131.4625,sample,3,0,30301,,,,,2274.0,537.16,25.5,True,,,,,,,,3/w0
1789041131.768,sample,3,0,30301,,,,,3468.0,305.336,23.094,True,,,,,,,,3/w0
1789041132.121,sample,3,0,30301,,,,,1057.0,352.969,23.168,True,,,,,,,,3/w0
1789041132.439,sample,3,0,30301,,,,,1525.0,317.889,18.144,True,,,,,,,,3/w0
1789041132.676,sample,3,0,30301,,,,,3240.0,236.886,11.749,True,,,,,,,,3/w0
1789041132.9328,sample,3,0,30301,,,,,4015.0,256.757,11.302,True,,,,,,,,3/w0
1789041133.6056,sample,3,0,30301,,,,,1062.0,595.151,122.448,True,,,,,,,,3/w0
1789041134.0652,sample,3,0,30301,,,,,4089.0,459.506,55.053,True,,,,,,,,3/w0
1789041134.4178,sample,3,0,30301,,,,,3088.0,352.605,45.442,True,,,,,,,,3/w0
1789041134.8523,sample,3,0,30301,,,,,1890.0,364.148,107.949,True,,,,,,,,3/w0
1789041135.2929,sample,3,0,30301,,,,,3862.0,440.571,48.221,True,,,,,,,,3/w0
1789041135.832,sample,3,0,30301,,,,,4259.0,538.994,51.621,True,,,,,,,,3/w0
1789041136.1927,sample,3,0,30301,,,,,1257.0,360.527,33.499,True,,,,,,,,3/w0
1789041136.5552,sample,3,0,30301,,,,,4669.0,362.39,25.192,True,,,,,,,,3/w0
