global_step,epoch,epoch_frac,train/loss,train/accept_len,train/accept_rate
148,0,0.005120,0.372,1.24,0.146
149,0,0.005154,0.38,1.242,0.146
150,0,0.005189,0.395,1.159,0.11
151,0,0.005223,0.381,1.229,0.141
152,0,0.005258,0.375,1.174,0.114
153,0,0.005293,0.377,1.188,0.122
154,0,0.005327,0.369,1.231,0.154
155,0,0.005362,0.378,1.269,0.161
156,0,0.005396,0.38,1.179,0.123
157,0,0.005431,0.372,1.204,0.142
158,0,0.005466,0.38,1.192,0.116
159,0,0.005500,0.375,1.224,0.154
160,0,0.005535,0.373,1.184,0.129
161,0,0.005569,0.384,1.176,0.118
162,0,0.005604,0.38,1.164,0.107
163,0,0.005639,0.367,1.264,0.173
164,0,0.005673,0.372,1.241,0.135
165,0,0.005708,0.381,1.172,0.113
166,0,0.005742,0.372,1.272,0.16
167,0,0.005777,0.37,1.293,0.181
168,0,0.005812,0.373,1.247,0.147
169,0,0.005846,0.378,1.224,0.152
170,0,0.005881,0.381,1.198,0.137
171,0,0.005915,0.377,1.192,0.132
172,0,0.005950,0.38,1.214,0.142
173,0,0.005985,0.383,1.181,0.122
174,0,0.006019,0.375,1.262,0.147
175,0,0.006054,0.378,1.271,0.157
176,0,0.006088,0.372,1.26,0.16
177,0,0.006123,0.381,1.231,0.149
178,0,0.006157,0.367,1.282,0.166
179,0,0.006192,0.377,1.253,0.146
180,0,0.006227,0.377,1.26,0.155
181,0,0.006261,0.375,1.297,0.166
182,0,0.006296,0.359,1.36,0.198
183,0,0.006330,0.362,1.332,0.192
184,0,0.006365,0.362,1.257,0.16
185,0,0.006400,0.362,1.419,0.22
186,0,0.006434,0.375,1.256,0.151
187,0,0.006469,0.375,1.255,0.159
188,0,0.006503,0.373,1.265,0.14
189,0,0.006538,0.369,1.241,0.138
190,0,0.006573,0.372,1.211,0.125
191,0,0.006607,0.369,1.386,0.193
192,0,0.006642,0.362,1.299,0.164
193,0,0.006676,0.369,1.269,0.162
194,0,0.006711,0.362,1.338,0.169
195,0,0.006746,0.366,1.354,0.192
196,0,0.006780,0.372,1.24,0.151
197,0,0.006815,0.362,1.422,0.218
198,0,0.006849,0.362,1.421,0.212
199,0,0.006884,0.364,1.384,0.191
200,0,0.006919,0.364,1.35,0.193
201,0,0.006953,0.366,1.316,0.171
202,0,0.006988,0.366,1.4,0.196
203,0,0.007022,0.366,1.361,0.203
204,0,0.007057,0.37,1.386,0.204
205,0,0.007091,0.362,1.436,0.208
206,0,0.007126,0.359,1.35,0.184
207,0,0.007161,0.362,1.375,0.196
208,0,0.007195,0.369,1.239,0.144
209,0,0.007230,0.366,1.298,0.167
210,0,0.007264,0.373,1.241,0.128
211,0,0.007299,0.364,1.432,0.205
212,0,0.007334,0.356,1.485,0.232
213,0,0.007368,0.356,1.483,0.221
214,0,0.007403,0.362,1.346,0.177
215,0,0.007437,0.35,1.604,0.261
216,0,0.007472,0.362,1.398,0.193
217,0,0.007507,0.375,1.323,0.166
218,0,0.007541,0.37,1.394,0.194
219,0,0.007576,0.355,1.381,0.203
220,0,0.007610,0.362,1.308,0.165
221,0,0.007645,0.356,1.416,0.219
222,0,0.007680,0.347,1.486,0.233
223,0,0.007714,0.369,1.347,0.172
224,0,0.007749,0.366,1.32,0.18
225,0,0.007783,0.362,1.401,0.185
226,0,0.007818,0.364,1.359,0.179
227,0,0.007852,0.361,1.369,0.176
228,0,0.007887,0.341,1.647,0.278
229,0,0.007922,0.356,1.484,0.229
230,0,0.007956,0.355,1.531,0.23
231,0,0.007991,0.353,1.486,0.205
232,0,0.008025,0.366,1.398,0.184
233,0,0.008060,0.353,1.511,0.236
234,0,0.008095,0.361,1.46,0.206
235,0,0.008129,0.338,1.699,0.284
236,0,0.008164,0.359,1.447,0.196
237,0,0.008198,0.358,1.47,0.214
238,0,0.008233,0.369,1.313,0.149
