t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,n_in,seq_len,wall_ms,cpu_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789036439.4991,timeline,2,-1,21671,9.0,0.0,10.0,0.115,,,,,69897.289417,69897.393746,69897.414979,69897.414979,69897.414993
1789036439.5007,timeline,1,-1,21670,9.0,0.0,10.0,0.383,,,,,69897.305785,69897.394196,69897.416576,69897.416576,69897.41659
1789036441.4083,timeline,1,-1,21670,10.0,0.0,11.0,0.117,,,,,69897.416981,69899.299822,69899.324154,69899.324154,69899.324179
1789036441.4026,timeline,0,-1,21669,10.0,0.0,11.0,0.17,,,,,69897.417374,69899.297132,69899.318474,69899.318474,69899.318489
1789036441.4059,timeline,2,-1,21671,10.0,0.0,11.0,900.593,,,,,69898.315815,69899.299269,69899.321767,69899.321767,69899.321857
1789036441.4005,timeline,3,-1,21672,10.0,0.0,11.0,1783.248,,,,,69899.207155,69899.295541,69899.316429,69899.316429,69899.316442
1789036441.837,timeline,3,-1,21672,11.0,0.0,12.0,0.096,,,,,69899.316835,69899.473497,69899.752944,69899.752944,69899.752956
1789036441.8402,timeline,0,-1,21669,11.0,0.0,12.0,0.149,,,,,69899.319072,69899.472114,69899.756138,69899.756138,69899.756148
1789036441.8308,timeline,2,-1,21671,11.0,0.0,12.0,0.149,,,,,69899.32244,69899.473423,69899.746668,69899.746668,69899.74668
1789036441.8428,timeline,1,-1,21670,11.0,0.0,12.0,0.153,,,,,69899.32468,69899.475527,69899.75876,69899.75876,69899.758775
1789036444.0203,timeline,0,-1,21669,12.0,0.0,13.0,0.132,,,,,69899.756571,69901.915224,69901.936188,69901.936188,69901.936205
1789036444.0188,timeline,1,-1,21670,12.0,0.0,13.0,0.16,,,,,69899.75912,69901.914986,69901.934663,69901.934663,69901.934678
1789036444.0174,timeline,2,-1,21671,12.0,0.0,13.0,804.647,,,,,69900.55157,69901.912162,69901.93335,69901.93335,69901.933366
1789036444.0199,timeline,3,-1,21672,12.0,0.0,13.0,2071.599,,,,,69901.824878,69901.913317,69901.935822,69901.935822,69901.935836
1789036444.1914,timeline,2,-1,21671,13.0,0.0,14.0,0.099,,,,,69901.933759,69902.087235,69902.107319,69902.107319,69902.107334
1789036444.1929,timeline,1,-1,21670,13.0,0.0,14.0,0.094,,,,,69901.935068,69902.088244,69902.108827,69902.108827,69902.108844
1789036444.1908,timeline,3,-1,21672,13.0,0.0,14.0,0.105,,,,,69901.936204,69902.086379,69902.106737,69902.106737,69902.106756
1789036444.1926,timeline,0,-1,21669,13.0,0.0,14.0,0.157,,,,,69901.936685,69902.086881,69902.108525,69902.108525,69902.108541
1789036446.8002,timeline,0,-1,21669,14.0,0.0,15.0,0.238,,,,,69902.108972,69904.377161,69904.716101,69904.716101,69904.716127
1789036446.7494,timeline,1,-1,21670,14.0,0.0,15.0,0.122,,,,,69902.109116,69904.377478,69904.665281,69904.665281,69904.665292
1789036446.733,timeline,2,-1,21671,14.0,0.0,15.0,542.214,,,,,69902.649753,69904.376717,69904.64894,69904.64894,69904.648953
1789036446.7489,timeline,3,-1,21672,14.0,0.0,15.0,2180.831,,,,,69904.287874,69904.382588,69904.66476,69904.66476,69904.664779
1789036446.9086,timeline,2,-1,21671,15.0,0.0,16.0,0.093,,,,,69904.649333,69904.803776,69904.824555,69904.824555,69904.824574
1789036446.9127,timeline,3,-1,21672,15.0,0.0,16.0,0.159,,,,,69904.665413,69904.803908,69904.828577,69904.828577,69904.828594
1789036446.9089,timeline,1,-1,21670,15.0,0.0,16.0,0.083,,,,,69904.665526,69904.804053,69904.824843,69904.824843,69904.824855
1789036446.9106,timeline,0,-1,21669,15.0,0.0,16.0,0.259,,,,,69904.716959,69904.804585,69904.826468,69904.826468,69904.826486
1789036448.9727,timeline,1,-1,21670,16.0,0.0,17.0,0.128,,,,,69904.825259,69906.868123,69906.888598,69906.888598,69906.88862
1789036448.9808,timeline,0,-1,21669,16.0,0.0,17.0,0.19,,,,,69904.827045,69906.873696,69906.896711,69906.896711,69906.896739
1789036448.974,timeline,2,-1,21671,16.0,0.0,17.0,383.241,,,,,69905.208076,69906.867986,69906.889947,69906.889947,69906.889965
1789036448.9766,timeline,3,-1,21672,16.0,0.0,17.0,1943.946,,,,,69906.772878,69906.868385,69906.892487,69906.892487,69906.892508
1789036449.3976,timeline,1,-1,21670,17.0,0.0,18.0,0.136,,,,,69906.889146,69907.045201,69907.313487,69907.313487,69907.313498
1789036449.3908,timeline,2,-1,21671,17.0,0.0,18.0,0.13,,,,,69906.890276,69907.047293,69907.306727,69907.306727,69907.30674
1789036449.4128,timeline,3,-1,21672,17.0,0.0,18.0,0.16,,,,,69906.893072,69907.047711,69907.328739,69907.328739,69907.328764
1789036449.4104,timeline,0,-1,21669,17.0,0.0,18.0,0.229,,,,,69906.897439,69907.044908,69907.326338,69907.326338,69907.326355
1789036451.3107,timeline,1,-1,21670,18.0,0.0,19.0,0.127,,,,,69907.313993,69909.205231,69909.226613,69909.226613,69909.22663
1789036451.3177,timeline,0,-1,21669,18.0,0.0,19.0,0.452,,,,,69907.327008,69909.21068,69909.233504,69909.233504,69909.233586
1789036451.3105,timeline,2,-1,21671,18.0,0.0,19.0,335.136,,,,,69907.64211,69909.205034,69909.226436,69909.226436,69909.226452
1789036451.3122,timeline,3,-1,21672,18.0,0.0,19.0,1767.341,,,,,69909.096409,69909.20552,69909.228154,69909.228154,69909.228172
1789036451.4859,timeline,2,-1,21671,19.0,0.0,20.0,0.114,,,,,69909.226727,69909.381476,69909.401851,69909.401851,69909.401868
1789036451.4862,timeline,1,-1,21670,19.0,0.0,20.0,0.124,,,,,69909.227084,69909.381342,69909.402068,69909.402068,69909.402085
1789036451.4874,timeline,3,-1,21672,19.0,0.0,20.0,0.13,,,,,69909.228616,69909.381864,69909.403352,69909.403352,69909.403368
1789036451.4888,timeline,0,-1,21669,19.0,0.0,20.0,0.284,,,,,69909.234421,69909.38227,69909.40471,69909.40471,69909.404731
1789036453.7323,timeline,1,-1,21670,20.0,0.0,21.0,0.134,,,,,69909.402564,69911.301757,69911.640858,69911.640858,69911.648209
1789036453.7365,timeline,0,-1,21669,20.0,0.0,21.0,0.367,,,,,69909.405522,69911.301897,69911.642687,69911.642687,69911.652405
1789036453.7322,timeline,2,-1,21671,20.0,0.0,21.0,305.763,,,,,69909.707854,69911.301414,69911.638378,69911.638378,69911.648147
1789036453.7326,timeline,3,-1,21672,20.0,0.0,21.0,1795.197,,,,,69911.199,69911.307823,69911.639464,69911.639464,69911.648493
1789036453.847,timeline,2,-1,21671,21.0,0.0,22.0,0.124,,,,,69911.648574,69911.740659,69911.762952,69911.762952,69911.762974
1789036453.8455,timeline,1,-1,21670,21.0,0.0,22.0,0.113,,,,,69911.6486,69911.739582,69911.761368,69911.761368,69911.761381
1789036453.8481,timeline,3,-1,21672,21.0,0.0,22.0,0.134,,,,,69911.648971,69911.741405,69911.763977,69911.763977,69911.763997
1789036453.8491,timeline,0,-1,21669,21.0,0.0,22.0,0.205,,,,,69911.653089,69911.74049,69911.765007,69911.765007,69911.765024
1789036455.5752,timeline,1,-1,21670,22.0,0.0,23.0,0.102,,,,,69911.761786,69913.469546,69913.491112,69913.491112,69913.49113
1789036455.5734,timeline,0,-1,21669,22.0,0.0,23.0,0.149,,,,,69911.765336,69913.468482,69913.489277,69913.489277,69913.489295
1789036455.5734,timeline,2,-1,21671,22.0,0.0,23.0,126.419,,,,,69911.889757,69913.468295,69913.489316,69913.489316,69913.489337
1789036455.5749,timeline,3,-1,21672,22.0,0.0,23.0,1614.752,,,,,69913.37902,69913.466299,69913.490802,69913.490802,69913.490817
1789036455.9989,timeline,0,-1,21669,23.0,0.0,24.0,0.154,,,,,69913.489612,69913.640028,69913.914836,69913.914836,69913.914848
1789036455.9872,timeline,2,-1,21671,23.0,0.0,24.0,0.12,,,,,69913.489798,69913.641431,69913.90311,69913.90311,69913.903123
1789036455.9982,timeline,3,-1,21672,23.0,0.0,24.0,0.107,,,,,69913.491254,69913.641834,69913.914109,69913.914109,69913.914123
1789036455.9988,timeline,1,-1,21670,23.0,0.0,24.0,0.124,,,,,69913.491427,69913.641373,69913.914734,69913.914734,69913.914746
1789036457.6957,timeline,1,-1,21670,24.0,0.0,25.0,0.097,,,,,69913.915142,69915.589998,69915.611601,69915.611601,69915.611617
1789036457.6956,timeline,0,-1,21669,24.0,0.0,25.0,0.132,,,,,69913.915297,69915.590177,69915.611488,69915.611488,69915.611504
1789036457.6948,timeline,2,-1,21671,24.0,0.0,25.0,206.857,,,,,69914.110239,69915.589858,69915.610737,69915.610737,69915.610752
1789036457.702,timeline,3,-1,21672,24.0,0.0,25.0,1587.173,,,,,69915.5016,69915.590184,69915.617926,69915.617926,69915.617942
1789036457.8671,timeline,2,-1,21671,25.0,0.0,26.0,0.111,,,,,69915.611011,69915.76199,69915.782976,69915.782976,69915.782995
1789036457.8677,timeline,1,-1,21670,25.0,0.0,26.0,0.104,,,,,69915.611991,69915.762224,69915.783648,69915.783648,69915.78366
1789036457.8692,timeline,0,-1,21669,25.0,0.0,26.0,0.184,,,,,69915.612106,69915.762741,69915.785079,69915.785079,69915.785106
1789036457.8697,timeline,3,-1,21672,25.0,0.0,26.0,0.122,,,,,69915.618734,69915.763644,69915.785623,69915.785623,69915.785649
1789036460.5818,timeline,1,-1,21670,26.0,0.0,27.0,0.109,,,,,69915.784048,69918.244051,69918.497729,69918.497729,69918.497742
1789036460.6093,timeline,0,-1,21669,26.0,0.0,27.0,0.208,,,,,69915.785725,69918.247661,69918.525166,69918.525166,69918.525181
1789036460.5864,timeline,2,-1,21671,26.0,0.0,27.0,515.37,,,,,69916.298589,69918.245871,69918.502352,69918.502352,69918.502367
1789036460.6,timeline,3,-1,21672,26.0,0.0,27.0,2370.927,,,,,69918.156899,69918.245052,69918.515918,69918.515918,69918.515932
1789036460.759,timeline,1,-1,21670,27.0,0.0,28.0,0.088,,,,,69918.498152,69918.65518,69918.674896,69918.674896,69918.674907
1789036460.7615,timeline,2,-1,21671,27.0,0.0,28.0,0.097,,,,,69918.50278,69918.656888,69918.677437,69918.677437,69918.677451
1789036460.7627,timeline,3,-1,21672,27.0,0.0,28.0,0.151,,,,,69918.516773,69918.655456,69918.678606,69918.678606,69918.678653
1789036460.7611,timeline,0,-1,21669,27.0,0.0,28.0,0.322,,,,,69918.526125,69918.655412,69918.67704,69918.67704,69918.677059
1789036462.6391,timeline,1,-1,21670,28.0,0.0,29.0,0.103,,,,,69918.675146,69920.535675,69920.554976,69920.554976,69920.55499
1789036462.6426,timeline,0,-1,21669,28.0,0.0,29.0,0.129,,,,,69918.677504,69920.536033,69920.558552,69920.558552,69920.55857
1789036462.6417,timeline,2,-1,21671,28.0,0.0,29.0,0.106,,,,,69918.677798,69920.535985,69920.557632,69920.557632,69920.557649
1789036462.648,timeline,3,-1,21672,28.0,0.0,29.0,1740.49,,,,,69920.419553,69920.54188,69920.563877,69920.563877,69920.563893
1789036463.0865,timeline,1,-1,21670,29.0,0.0,30.0,0.099,,,,,69920.555335,69920.720183,69921.002369,69921.002369,69921.002381
1789036463.0922,timeline,2,-1,21671,29.0,0.0,30.0,0.116,,,,,69920.558064,69920.720079,69921.008115,69921.008115,69921.008129
1789036463.1056,timeline,0,-1,21669,29.0,0.0,30.0,0.176,,,,,69920.559056,69920.726062,69921.021479,69921.021479,69921.021498
1789036463.0843,timeline,3,-1,21672,29.0,0.0,30.0,0.158,,,,,69920.564239,69920.720548,69921.000242,69921.000242,69921.000256
1789036464.844,timeline,1,-1,21670,30.0,0.0,31.0,0.083,,,,,69921.002729,69922.738471,69922.759917,69922.759917,69922.759932
1789036464.8454,timeline,2,-1,21671,30.0,0.0,31.0,0.108,,,,,69921.00851,69922.738892,69922.761277,69922.761277,69922.761302
1789036464.8478,timeline,0,-1,21669,30.0,0.0,31.0,0.193,,,,,69921.022303,69922.739106,69922.763677,69922.763677,69922.763705
1789036464.8506,timeline,3,-1,21672,30.0,0.0,31.0,1647.189,,,,,69922.647747,69922.74448,69922.766476,69922.766476,69922.766499
