t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,n_in,seq_len,wall_ms,cpu_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789036579.9042,collate,3,1,22075,,,,,5.0,1.0,46.166,46.066,,,,,
1789036582.4771,collate,3,1,22075,,,,,6.0,1.0,53.92,53.846,,,,,
1789036584.4802,collate,3,1,22075,,,,,5.0,1.0,61.142,61.033,,,,,
1789036587.0568,collate,3,1,22075,,,,,6.0,1.0,39.718,39.657,,,,,
1789036589.5687,collate,3,1,22075,,,,,6.0,1.0,55.268,55.17,,,,,
1789036592.0868,collate,3,1,22075,,,,,6.0,1.0,41.986,41.903,,,,,
1789036594.5664,collate,3,1,22075,,,,,7.0,1.0,48.526,48.458,,,,,
1789036596.6817,collate,3,1,22075,,,,,5.0,1.0,51.47,51.396,,,,,
1789036599.2513,collate,3,1,22075,,,,,6.0,1.0,48.013,47.846,,,,,
1789036601.4803,collate,3,1,22075,,,,,5.0,1.0,39.467,39.37,,,,,
1789036603.8715,collate,3,1,22075,,,,,6.0,1.0,48.812,48.727,,,,,
1789036606.2471,collate,3,1,22075,,,,,6.0,1.0,48.889,48.801,,,,,
1789036608.4808,collate,3,1,22075,,,,,5.0,1.0,25.016,24.979,,,,,
1789036610.5635,collate,3,1,22075,,,,,6.0,1.0,40.926,40.861,,,,,
1789036612.72,collate,3,1,22075,,,,,6.0,1.0,29.167,29.121,,,,,
1789036614.8686,collate,3,1,22075,,,,,7.0,1.0,47.685,47.63,,,,,
1789036617.2605,collate,3,1,22075,,,,,6.0,1.0,41.952,41.854,,,,,
1789036619.9556,collate,3,1,22075,,,,,6.0,1.0,45.625,45.553,,,,,
1789036622.6598,collate,3,1,22075,,,,,6.0,1.0,53.878,53.795,,,,,
1789036624.9513,collate,3,1,22075,,,,,5.0,1.0,142.173,141.897,,,,,
1789036627.1522,collate,3,1,22075,,,,,6.0,1.0,37.437,37.378,,,,,
1789036628.888,collate,3,1,22075,,,,,4.0,1.0,53.298,53.187,,,,,
1789036631.0794,collate,3,1,22075,,,,,5.0,1.0,68.035,67.872,,,,,
1789036632.6437,collate,3,1,22075,,,,,3.0,1.0,46.176,46.109,,,,,
1789036634.9182,collate,3,1,22075,,,,,5.0,1.0,45.249,45.126,,,,,
1789036636.9076,collate,3,1,22075,,,,,5.0,1.0,44.565,44.484,,,,,
1789036639.601,collate,3,1,22075,,,,,7.0,1.0,27.18,27.148,,,,,
1789036642.7035,collate,3,1,22075,,,,,9.0,1.0,35.608,35.522,,,,,
1789036645.0399,collate,3,1,22075,,,,,5.0,1.0,23.32,23.291,,,,,
1789036647.3055,collate,3,1,22075,,,,,6.0,1.0,46.456,46.385,,,,,
1789036648.8604,collate,3,1,22075,,,,,2.0,1.0,41.554,41.478,,,,,
1789036651.3968,collate,3,1,22075,,,,,6.0,1.0,47.803,47.713,,,,,
1789036653.9474,collate,3,1,22075,,,,,7.0,1.0,24.059,23.998,,,,,
1789036656.0513,collate,3,1,22075,,,,,5.0,1.0,51.083,50.994,,,,,
1789036658.5598,collate,3,1,22075,,,,,6.0,1.0,46.359,46.287,,,,,
1789036660.8034,collate,3,1,22075,,,,,5.0,1.0,28.822,28.752,,,,,
1789036662.8864,collate,3,1,22075,,,,,5.0,1.0,47.309,47.217,,,,,
1789036664.9028,collate,3,1,22075,,,,,5.0,1.0,43.688,43.634,,,,,
1789036667.3282,collate,3,1,22075,,,,,5.0,1.0,45.872,45.801,,,,,
1789036670.3202,collate,3,1,22075,,,,,7.0,1.0,43.156,43.094,,,,,
1789036672.3495,collate,3,1,22075,,,,,5.0,1.0,43.952,43.896,,,,,
1789036675.0789,collate,3,1,22075,,,,,6.0,1.0,41.222,41.13,,,,,
1789036677.7078,collate,3,1,22075,,,,,7.0,1.0,21.265,21.247,,,,,
1789036680.3221,collate,3,1,22075,,,,,7.0,1.0,33.409,33.364,,,,,
1789036682.8196,collate,3,1,22075,,,,,7.0,1.0,36.489,36.424,,,,,
1789036684.9505,collate,3,1,22075,,,,,6.0,1.0,47.639,47.562,,,,,
1789036687.1877,collate,3,1,22075,,,,,5.0,1.0,27.137,27.05,,,,,
1789036689.6691,collate,3,1,22075,,,,,6.0,1.0,47.956,47.879,,,,,
1789036691.4919,collate,3,1,22075,,,,,5.0,1.0,36.957,36.814,,,,,
1789036693.8814,collate,3,1,22075,,,,,6.0,1.0,41.31,41.241,,,,,
1789036697.0485,collate,3,1,22075,,,,,8.0,1.0,45.671,45.59,,,,,
1789036699.389,collate,3,1,22075,,,,,6.0,1.0,46.06,45.972,,,,,
1789036702.1474,collate,3,1,22075,,,,,7.0,1.0,41.653,41.59,,,,,
1789036704.5918,collate,3,1,22075,,,,,6.0,1.0,46.508,46.446,,,,,
1789036706.584,collate,3,1,22075,,,,,5.0,1.0,21.405,21.359,,,,,
1789036709.2358,collate,3,1,22075,,,,,6.0,1.0,35.182,35.067,,,,,
1789036711.3957,collate,3,1,22075,,,,,4.0,1.0,43.846,43.779,,,,,
1789036713.4602,collate,3,1,22075,,,,,5.0,1.0,22.397,22.364,,,,,
1789036716.2465,collate,3,1,22075,,,,,7.0,1.0,43.247,43.12,,,,,
1789036718.927,collate,3,1,22075,,,,,7.0,1.0,43.935,43.799,,,,,
1789036721.1995,collate,3,1,22075,,,,,5.0,1.0,66.695,66.525,,,,,
1789036723.4843,collate,3,1,22075,,,,,5.0,1.0,45.603,45.53,,,,,
1789036726.123,collate,3,1,22075,,,,,6.0,1.0,52.052,51.911,,,,,
1789036727.9914,collate,3,1,22075,,,,,5.0,1.0,22.838,22.82,,,,,
1789036730.244,collate,3,1,22075,,,,,6.0,1.0,28.099,28.055,,,,,
1789036732.1479,collate,3,1,22075,,,,,5.0,1.0,50.356,50.29,,,,,
1789036734.7474,collate,3,1,22075,,,,,6.0,1.0,208.127,207.806,,,,,
1789036736.4552,collate,3,1,22075,,,,,4.0,1.0,26.846,26.806,,,,,
