28910	0.131	5.030	0.227	0.048
28912	0.150	4.652	0.259	0.054
28914	0.128	5.066	0.202	0.045
28915	0.124	5.230	0.202	0.045
28917	0.127	5.151	0.195	0.045
28918	0.166	4.428	0.305	0.062
28919	0.171	4.254	0.306	0.064
28921	0.140	4.837	0.234	0.050
28924	0.105	5.539	0.161	0.037
28926	0.139	4.968	0.242	0.051
28927	0.146	4.651	0.241	0.052
28929	0.206	3.370	0.397	0.081
28930	0.140	4.976	0.263	0.048
28933	0.132	4.970	0.212	0.047
28935	0.184	3.876	0.347	0.070
28936	0.141	4.778	0.222	0.050
28938	0.147	4.699	0.247	0.053
28939	0.159	4.497	0.289	0.060
28941	0.096	5.772	0.149	0.034
28942	0.134	5.012	0.222	0.049
28945	0.184	3.989	0.362	0.070
28948	0.185	3.973	0.348	0.070
28949	0.131	4.971	0.191	0.046
28951	0.162	4.388	0.280	0.059
28952	0.145	4.722	0.244	0.054
28954	0.163	4.337	0.289	0.060
28955	0.134	4.859	0.216	0.048
28957	0.158	4.509	0.272	0.058
28958	0.163	4.398	0.272	0.058
28960	0.139	4.833	0.227	0.050
28961	0.132	4.985	0.203	0.046
28963	0.152	4.702	0.270	0.055
28964	0.161	4.402	0.278	0.058
28966	0.162	4.401	0.292	0.059
28969	0.138	4.858	0.217	0.049
28972	0.166	4.337	0.319	0.060
28975	0.126	5.137	0.217	0.046
28976	0.127	5.138	0.197	0.045
