28910	0.131	5.031	0.227	0.048
28911	0.145	4.755	0.244	0.052
28912	0.150	4.653	0.259	0.054
28914	0.128	5.064	0.202	0.045
28915	0.124	5.232	0.203	0.045
28916	0.180	4.083	0.338	0.068
28918	0.166	4.428	0.308	0.062
28921	0.140	4.841	0.236	0.050
28923	0.179	3.981	0.319	0.068
28924	0.105	5.537	0.162	0.037
28926	0.139	4.966	0.242	0.051
28927	0.146	4.653	0.239	0.052
28928	0.187	3.864	0.352	0.071
28930	0.140	4.976	0.263	0.048
28932	0.151	4.627	0.269	0.055
28933	0.132	4.966	0.212	0.047
28934	0.123	5.132	0.188	0.042
28936	0.141	4.778	0.223	0.050
28938	0.148	4.699	0.247	0.053
28939	0.159	4.498	0.289	0.060
28941	0.096	5.771	0.148	0.034
28942	0.134	5.016	0.220	0.049
28944	0.161	4.479	0.287	0.060
28945	0.184	3.985	0.359	0.071
28947	0.110	5.345	0.159	0.038
28948	0.186	3.972	0.347	0.070
28951	0.162	4.388	0.281	0.059
28952	0.145	4.724	0.245	0.054
28954	0.162	4.340	0.287	0.060
28955	0.134	4.859	0.216	0.048
28957	0.158	4.513	0.272	0.058
28958	0.163	4.395	0.270	0.058
28960	0.139	4.836	0.227	0.050
28962	0.180	4.033	0.328	0.068
28963	0.152	4.702	0.272	0.055
28965	0.136	4.900	0.223	0.049
28966	0.162	4.401	0.292	0.059
28969	0.138	4.861	0.217	0.049
28970	0.184	4.006	0.350	0.070
28972	0.166	4.337	0.319	0.060
28973	0.163	4.379	0.286	0.059
28975	0.126	5.134	0.217	0.046
28977	0.156	4.568	0.263	0.057
28978	0.149	4.571	0.253	0.054
28981	0.182	3.946	0.328	0.069
28984	0.145	4.713	0.275	0.056
28985	0.155	4.588	0.263	0.056
